Pick,Name,Team,Draft-Trades,Pos,HT,WT,Age,YOS,Pre-Draft Team,Class,Nationality,League,Season,School,Class,GP,GS,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,TRB,AST,STL,BLK,PF,TOV,PTS,TS%,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,Total S %,PPR,PPS,ORtg,DRtg,PER
1,Anthony Davis,NOP,,PF,208cm,115kg,19,9,Kentucky,Fr *,United States,NCAA,CAREER,NCAA DI, ,40.0,40.0,32.0,5.25,8.43,.623,0.07,0.50,.150,3.60,5.08,.709,2.98,7.40,10.38,1.25,1.35,4.65,1.95,1.02,14.18,.654,.628,11.31,24.19,18.23,7.50,8.64,2.52,13.76,18.85,148.25,-0.61,1.68,138.8,79.3,33.25
2,Michael Kidd-Gilchrist,CHA,,SF,201cm,105kg,18,8,Kentucky,Fr *,United States,NCAA,CAREER,NCAA DI, ,40.0,39.0,31.1,4.00,8.15,.491,0.33,1.27,.255,3.58,4.80,.745,2.58,4.85,7.42,1.88,0.97,0.95,2.42,2.17,11.90,.570,.511,10.06,16.30,13.42,10.83,17.26,1.87,2.89,20.59,149.05,-3.04,1.46,115.3,90.7,20.11
3,Bradley Beal,WAS,,SG,191cm,94kg,19,9,Florida,Fr *,United States,NCAA,CAREER,NCAA DI, ,37.0,37.0,34.3,4.73,10.65,.444,1.70,5.05,.337,3.59,4.68,.769,1.35,5.38,6.73,2.24,1.38,0.81,2.05,2.14,14.76,.573,.524,4.69,18.33,11.58,12.71,14.23,2.46,2.51,22.96,154.98,-1.95,1.39,115.2,95.5,20.87
4,Dion Waiters,CLE,,SG,193cm,98kg,20,8,Syracuse,So *,United States,NCAA,CAREER,NCAA DI, ,71.0,1.0,20.3,3.49,7.72,.453,0.99,2.77,.355,1.76,2.34,.753,0.42,1.52,1.94,2.00,1.45,0.24,1.62,1.15,9.72,.550,.516,2.44,8.11,5.39,19.81,11.57,4.39,1.34,25.27,156.09,0.92,1.26,114.7,94.2,21.62
5,Thomas Robinson,SAC,,PF,208cm,107kg,21,5,Kansas,Jr *,United States,NCAA,CAREER,NCAA DI, ,105.0,42.0,18.7,3.76,7.17,.525,0.07,0.13,.500,2.18,3.60,.606,2.10,5.16,7.27,0.96,0.60,0.70,2.07,1.65,9.77,.550,.529,13.67,29.16,21.95,10.41,15.65,1.88,3.92,27.96,163.04,-5.37,1.36,108.6,84.8,24.04
6,Damian Lillard,POR,,G,188cm,88kg,21,9,Weber State,Jr *,United States,NCAA,CAREER,NCAA DI, ,104.0,98.0,32.3,5.62,12.60,.446,2.37,6.06,.390,5.00,5.77,.867,0.41,3.85,4.26,3.48,1.24,0.18,2.12,2.37,18.60,.606,.540,1.64,14.07,8.11,24.19,13.36,2.37,0.65,28.68,170.29,-0.14,1.48,120.5,99.6,24.70
7,Harrison Barnes,GOS,,SF,203cm,102kg,20,9,North Carolina,So *,United States,NCAA,CAREER,NCAA DI, ,75.0,73.0,29.3,5.84,13.57,.430,1.55,4.43,.349,3.15,4.28,.735,1.99,3.53,5.52,1.28,0.91,0.39,1.87,1.95,16.37,.525,.487,7.07,11.88,9.54,8.33,11.09,1.71,1.28,27.35,151.49,-3.50,1.21,109.8,95.5,19.06
8,Terrence Ross,TOR,,SF,201cm,93kg,21,9,Washington,So *,United States,NCAA,CAREER,NCAA DI, ,69.0,39.0,24.4,4.59,10.14,.453,1.68,4.62,.364,1.41,1.83,.770,1.12,3.54,4.65,1.19,0.91,0.65,2.43,1.36,12.28,.557,.536,4.97,15.72,10.35,9.15,11.01,2.09,2.60,23.76,158.63,-2.23,1.21,115.2,96.4,19.49
9,Andre Drummond,DET,,C,208cm,127kg,18,9,Connecticut,Fr *,United States,NCAA,CAREER,NCAA DI, ,34.0,29.0,28.5,4.62,8.59,.538,0.00,0.06,.000,0.76,2.59,.295,3.35,4.21,7.56,0.44,0.82,2.71,2.21,1.53,10.00,.509,.538,13.94,15.64,14.84,3.35,13.48,1.81,9.88,20.81,83.31,-4.61,1.16,103.4,95.8,20.91
10,Austin Rivers,NOP,,SG,193cm,91kg,19,9,Duke,Fr *,United States,NCAA,CAREER,NCAA DI, ,34.0,33.0,33.2,5.12,11.82,.433,1.71,4.68,.365,3.56,5.41,.658,0.62,2.76,3.38,2.09,0.97,0.03,2.24,2.32,15.50,.538,.505,2.18,9.23,5.80,12.98,13.90,1.71,0.08,25.19,145.52,-2.80,1.31,108.0,102.9,16.18
11,Meyers Leonard,POR,,C,216cm,116kg,20,9,Illinois,So *,United States,NCAA,CAREER,NCAA DI, ,65.0,31.0,19.9,3.05,5.37,.567,0.02,0.18,.083,1.62,2.22,.729,1.28,3.38,4.66,0.74,0.31,1.12,2.22,1.45,7.72,.601,.569,8.11,20.22,14.35,7.93,18.38,0.95,6.33,21.07,137.98,-5.02,1.44,108.6,95.7,18.52
12,Jeremy Lamb,HOU,,SG,196cm,84kg,20,9,Connecticut,So *,United States,NCAA,CAREER,NCAA DI, ,75.0,73.0,32.1,5.32,11.04,.482,1.56,4.48,.348,1.93,2.40,.806,1.09,3.56,4.65,1.65,1.03,0.61,1.61,1.60,14.12,.580,.553,3.93,11.68,7.99,11.16,11.61,1.98,1.94,22.14,163.57,-1.64,1.28,118.1,100.3,19.97
13,Kendall Marshall,PHX,,PG,193cm,88kg,20,4,North Carolina,So *,United States,NCAA,CAREER,NCAA DI, ,73.0,55.0,28.8,2.48,5.58,.445,0.66,1.81,.364,1.55,2.23,.693,0.16,2.18,2.34,7.96,1.14,0.12,1.45,2.64,7.16,.540,.504,0.60,7.46,4.13,43.23,28.49,2.18,0.42,14.72,150.16,8.66,1.29,109.4,97.0,15.07
14,John Henson,MIL,,PF,211cm,99kg,21,9,North Carolina,Jr *,United States,NCAA,CAREER,NCAA DI, ,109.0,82.0,23.8,4.36,8.76,.497,0.05,0.22,.208,1.55,3.20,.484,2.47,5.65,8.12,0.99,0.62,2.53,1.46,1.53,10.31,.501,.500,10.82,23.49,17.32,7.90,12.97,1.45,10.28,22.68,119.00,-3.45,1.18,103.7,87.6,21.58
15,Maurice Harkless,PHL,,F,206cm,100kg,19,9,St. John's,Fr *,United States / Puerto Rico,NCAA,CAREER,NCAA DI, ,32.0,30.0,36.1,6.00,13.31,.451,0.53,2.47,.215,2.97,4.34,.683,2.72,5.94,8.66,1.47,1.59,1.41,2.31,2.50,15.47,.503,.471,8.30,18.41,13.32,9.62,13.99,2.63,4.19,24.84,134.93,-4.26,1.16,102.2,100.2,20.08
16,Royce White,HOU,,PF,203cm,122kg,21,2,Iowa State,So *,United States,NCAA,CAREER,NCAA DI, ,34.0,29.0,31.5,5.15,9.65,.534,0.12,0.35,.333,3.00,6.03,.498,2.50,6.79,9.29,5.00,1.18,0.94,2.62,3.82,13.41,.536,.540,9.45,24.44,17.13,34.51,23.41,2.21,3.02,26.55,136.44,-1.57,1.39,103.3,94.2,21.82
17,Tyler Zeller,DAL,DAL to CLE,C,213cm,113kg,22,8,North Carolina,Sr,United States,NCAA,CAREER,NCAA DI, ,117.0,75.0,23.1,4.68,8.63,.543,0.00,0.02,.000,3.46,4.47,.774,2.70,4.05,6.75,0.59,0.67,1.12,2.32,1.41,12.83,.596,.543,12.26,17.48,14.94,4.92,11.59,1.59,4.72,24.09,131.70,-4.14,1.49,122.0,92.7,24.84
18,Terrence Jones,HOU,,PF,206cm,116kg,20,6,Kentucky,So *,United States,NCAA,CAREER,NCAA DI, ,76.0,69.0,30.4,5.04,10.79,.467,0.55,1.68,.328,3.37,5.28,.638,2.47,5.53,8.00,1.46,1.21,1.83,2.39,1.80,14.00,.526,.493,9.66,19.45,14.81,9.53,11.94,2.38,5.81,25.40,143.36,-2.79,1.30,111.5,88.2,23.14
19,Andrew Nicholson,ORL,,F,206cm,113kg,22,5,St. Bonaventure,Sr,Canada,NCAA,CAREER,NCAA DI, ,123.0,118.0,29.9,6.58,11.44,.575,0.24,0.63,.377,3.71,5.15,.720,2.20,5.01,7.21,0.71,0.50,1.98,3.02,2.41,17.10,.616,.585,9.08,18.94,14.22,6.02,14.77,1.00,7.07,27.83,167.20,-6.62,1.49,114.6,97.6,25.01
20,Evan Fournier,DEN,,SG,201cm,93kg,19,9,Poitiers Basket 86 (France),1992 DOB *,France,INTERNATIONAL,2011-12,Poitiers Basket 86,Jeep Elite,30.0,18.0,26.0,4.90,11.53,.425,1.27,4.57,.277,2.97,3.93,.754,1.13,2.07,3.20,2.20,1.50,0.13,3.10,2.17,14.03,.529,.480,5.20,10.61,7.75,17.92,14.04,3.29,0.55,28.53,145.65,-2.74,1.22,104.4,108.5,17.59
21,Jared Sullinger,BOS,,C,206cm,118kg,20,5,Ohio State,So *,United States,NCAA,CAREER,NCAA DI, ,74.0,73.0,31.0,6.08,11.47,.530,0.26,0.70,.365,4.91,6.69,.733,3.34,6.35,9.69,1.20,1.08,0.80,2.69,1.76,17.32,.591,.541,13.11,24.59,18.89,7.96,10.71,2.14,2.96,27.45,162.88,-3.21,1.51,123.8,87.5,28.32
22,Fab Melo,BOS,,C,213cm,116kg,22,1,Syracuse,So *,Brazil,NCAA,CAREER,NCAA DI, ,62.0,53.0,17.5,2.13,3.68,.579,0.00,0.00,.000,0.76,1.37,.553,1.63,2.26,3.89,0.45,0.39,1.81,2.32,1.11,5.02,.579,.579,10.75,13.81,12.34,4.56,20.45,1.34,11.63,15.73,113.19,-4.77,1.36,106.5,92.2,16.51
23,John Jenkins,ATL,,SG,193cm,98kg,21,6,Vanderbilt,Jr *,United States,NCAA,CAREER,NCAA DI, ,98.0,74.0,30.6,5.27,11.26,.468,3.12,7.13,.438,3.27,3.82,.856,0.42,2.29,2.70,1.13,0.68,0.28,1.24,1.33,16.92,.647,.607,1.68,8.12,5.09,8.17,9.22,1.33,0.90,24.07,176.12,-1.89,1.50,129.1,103.5,21.92
24,Jared Cunningham,CLE,CLE to DAL,SG,193cm,88kg,21,4,Oregon State,Jr *,United States,NCAA,CAREER,NCAA DI, ,98.0,84.0,27.9,3.88,8.52,.455,0.86,2.49,.344,4.36,5.78,.754,0.95,2.05,3.00,1.97,2.23,0.24,2.52,2.56,12.97,.576,.505,4.05,8.88,6.45,15.24,18.53,4.72,1.01,24.94,155.38,-4.49,1.52,107.5,98.4,19.11
25,Tony Wroten,MEM,,PG,198cm,93kg,19,4,Washington,Fr *,United States,NCAA,CAREER,NCAA DI, ,35.0,27.0,30.3,5.66,12.77,.443,0.26,1.60,.161,4.40,7.54,.583,2.29,2.74,5.03,3.69,1.89,0.34,2.66,3.77,15.97,.488,.453,8.08,9.74,8.91,24.36,18.74,3.51,1.11,31.25,118.70,-4.16,1.25,98.6,97.0,19.40
26,Miles Plumlee,IND,,C,211cm,113kg,23,7,Duke,Sr,United States,NCAA,CAREER,NCAA DI, ,135.0,58.0,16.2,2.00,3.48,.574,0.01,0.01,1.000,0.94,1.54,.611,1.84,3.07,4.92,0.40,0.49,0.70,2.27,1.07,4.95,.587,.576,13.05,20.84,17.03,4.52,20.20,1.77,4.04,16.01,218.50,-4.93,1.42,111.8,89.9,16.76
