Pos,HT,WT,Age,League,GP,GS,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,TRB,AST,STL,BLK,PF,TOV,PTS,TS%,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,Total S %,PPR,PPS,ORtg,DRtg,PER,Pick
PF,203cm,91kg,22,INTERNATIONAL,25,20,19.5,2.96,5.48,0.54,0.56,1.44,0.389,1.96,2.76,0.71,1,3.28,4.28,1.64,0.68,0.52,1.88,1.52,8.44,0.63,0.591,6.88,22.29,14.63,15.07,18.5,1.92,2.96,20.28,163.92,-2.22,1.54,112.9,92.5,17.21,60
G,196cm,90kg,22,NCAA,129,115,31.6,4.56,10.98,0.415,0.91,3.13,0.292,2.55,4.16,0.613,1.01,4.22,5.22,3.38,1.08,0.43,2.54,2.16,12.58,0.486,0.457,3.76,14.55,9.37,21.65,14.31,2.05,1.31,24.82,132,0.29,1.15,100.1,98.8,15.9,60
G,198cm,88kg,22,INTERNATIONAL,51,15,14,2.16,4.9,0.44,1.04,2.92,0.356,0.9,1.06,0.852,0.24,0.71,0.94,0.41,0.45,0.02,1.14,0.82,6.25,0.583,0.546,2.22,6.78,4.48,5.12,13.3,1.84,0.16,21.73,164.76,-4.22,1.28,108.4,116.8,12.28,60
PF,206cm,98kg,23,NCAA,130,76,19.9,3.32,6.11,0.543,0.13,0.38,0.34,2.15,3.26,0.66,1.87,3.68,5.55,0.39,0.32,1.28,1.74,0.78,8.92,0.582,0.554,11.38,20.13,15.99,3.99,9.21,0.98,6.65,21.36,154.32,-2.64,1.46,123.2,94.6,23.05,60
C,213cm,122kg,23,NCAA,136,111,21.7,3.01,5.97,0.504,0.01,0.03,0.25,3.32,4.51,0.735,1.77,3.22,4.99,0.68,0.51,1.38,2.25,1.62,9.34,0.575,0.504,10.27,16.2,13.45,6.04,16.62,1.41,6.97,22.77,148.82,-5.46,1.56,112.3,92.3,19.92,60
F,201cm,93kg,22,INTERNATIONAL,27,6,8.2,0.7,1.85,0.38,0.22,0.85,0.261,0.96,1.19,0.812,0.11,0.93,1.04,0.59,0.41,0.15,1.89,0.63,2.59,0.546,0.44,1.78,15.1,8.37,11.18,20.97,2.8,2.06,17.5,145.34,-3.02,1.4,102.6,105.3,8.91,60
PF,208cm,91kg,20,NCAA,29,6,15.1,2,3.48,0.574,0.07,0.52,0.133,1.14,2.21,0.516,0.83,2.03,2.86,0.45,0.24,1.07,2.28,1.34,5.21,0.575,0.584,7.34,16.91,12.28,6.03,22.89,0.96,8.45,21.02,122.32,-7.29,1.5,95.8,105,13.14,60
SF,201cm,103kg,20,INTERNATIONAL,58,53,28.3,3.9,8.45,0.461,1.66,4.47,0.371,2.22,2.9,0.768,0.98,5.38,6.36,3.43,1.34,0.31,2.5,2.12,11.67,0.6,0.559,4.83,22.59,14.41,21.51,17.91,2.74,1.14,21,159.97,0.62,1.38,115.2,90.8,18.35,60
PF,208cm,110kg,21,INTERNATIONAL,44,6,15.8,2.14,3.82,0.56,0,0.02,0,1,1.66,0.603,1.95,3.34,5.3,0.75,0.57,0.84,1.84,0.93,5.27,0.58,0.56,16.5,26.93,21.84,8.19,17,2.07,5.23,17.32,116.23,-2.91,1.38,115.8,103.9,18.64,60
G,193cm,89kg,24,NCAA,132,118,33.1,5.44,11.55,0.471,2.42,5.76,0.421,3.4,3.82,0.891,0.29,3.32,3.61,3.59,0.98,0.19,2.38,1.59,16.7,0.625,0.576,1.04,11.11,6.27,22.41,10.64,1.72,0.66,23.04,178.31,2.46,1.45,126.1,101.3,20.92,60
