Pos,HT,WT,Age,League,GS,FGA,FG%,3PA,3P%,FTA,FT%,TRB,AST,STL,BLK,PF,TOV,PTS,TS%,eFG%,ORB%,DRB%,TRB%,TOV%,STL%,BLK%,Total S %,PPR,ORtg,DRtg,Pick
C,213cm,113kg,19,NCAA,39,6.56,0.566,0.21,0.25,3.44,0.813,6.69,1.13,0.46,2.21,2.95,1.36,10.28,0.627,0.57,14.19,22.42,18.62,14.22,1.37,11.21,162.98,-2.95,126.8,77.3,1
SG,193cm,88kg,19,NCAA,35,14.71,0.449,6.6,0.411,4.46,0.756,5.66,5,1.57,0.31,2.11,2.91,19.29,0.573,0.541,3.61,15.42,9.76,14.76,2.81,1.07,161.62,1.22,115.8,93.7,2
C,211cm,125kg,19,NCAA,38,11.05,0.664,0,0,5.11,0.51,8.47,1.29,0.76,1.42,2.13,2.5,17.29,0.641,0.664,14.73,18.21,16.58,15.65,1.53,4.48,117.46,-5.4,119.9,94.7,3
FC,221cm,109kg,19,INTERNATIONAL,27,8.34,0.496,2.34,0.359,2.5,0.752,4.6,0.54,0.9,1.04,2.62,1.42,11,0.583,0.547,8.36,18.77,13.66,13.08,2.33,5.21,160.74,-5.13,110.2,107.3,4
SG,203cm,100kg,20,INTERNATIONAL,16,4.74,0.46,2.83,0.385,0.55,0.722,1.98,1.11,0.65,0.11,1.68,1.08,5.85,0.587,0.575,3.18,13.51,8.61,17.76,2.47,0.66,156.73,-2.39,106.3,105.2,5
C,213cm,109kg,21,NCAA,70,5.55,0.593,0,0,2.83,0.508,6.13,0.86,1.1,2.23,2.34,1.21,8.03,0.582,0.593,11.61,16.81,14.36,14.92,2.73,9.32,110.19,-2.63,116.5,86.3,6
SG,196cm,91kg,19,INTERNATIONAL,0,15.33,0.478,3.17,0.342,3.92,0.574,6.25,5.92,1.58,0.08,1.58,3.25,18,0.528,0.514,7.73,17.04,12.3,16,2.65,0.24,139.48,2.23,110.1,111.3,7
G,198cm,110kg,19,NCAA,37,10.26,0.446,3.05,0.371,4.68,0.742,6.5,1.66,1.5,0.39,2.63,2.16,13.76,0.551,0.501,8.89,19.14,14.18,14.73,3.17,1.58,155.84,-3.63,111.1,86.6,8
F,213cm,110kg,22,NCAA,79,7.03,0.522,1.94,0.369,2.7,0.763,4.62,1.31,0.53,1.06,1.62,0.84,10.12,0.609,0.573,7.82,20.03,14.03,9.18,1.72,5.26,165.49,0.16,126.4,90.2,9
SF,198cm,101kg,19,NCAA,39,9.13,0.486,2.82,0.418,4,0.641,6.46,2.1,1.33,0.87,2.77,1.82,12.62,0.572,0.551,5.44,19.84,13.09,14.17,2.77,2.85,154.52,-1.43,115.2,91.9,10
