@relation ./files/finalDataSetTrimmed.csv
@attribute Pick integer
@attribute Pos { C, SG, FC, G, F, SF, PF, PG, GF }
@attribute HT integer
@attribute WT integer
@attribute Age integer
@attribute League { NCAA, INTERNATIONAL, GLEAGUE }
@attribute GP integer
@attribute GS integer
@attribute MIN real
@attribute FGM real
@attribute FGA real
@attribute FG_percent real
@attribute 3PM real
@attribute 3PA real
@attribute 3P_percent real
@attribute FTM real
@attribute FTA real
@attribute FT_percent real
@attribute OFF real
@attribute DEF real
@attribute TRB real
@attribute AST real
@attribute STL real
@attribute BLK real
@attribute PF real
@attribute TOV real
@attribute PTS real
@attribute TS_percent real
@attribute eFG_percent real
@attribute ORB_percent real
@attribute DRB_percent real
@attribute TRB_percent real
@attribute AST_percent real
@attribute TOV_percent real
@attribute STL_percent real
@attribute BLK_percent real
@attribute USG_percent real
@attribute Total_S_percent real
@attribute PPR real
@attribute PPS real
@attribute ORtg real
@attribute DRtg real
@attribute PER real
@data
1,C,213,113,19,NCAA,39,39,21.1,3.72,6.56,0.566,0.05,0.21,0.25,2.79,3.44,0.813,2.36,4.33,6.69,1.13,0.46,2.21,2.95,1.36,10.28,0.627,0.57,14.19,22.42,18.62,11.58,14.22,1.37,11.21,23.73,162.98,-2.95,1.57,126.8,77.3,28.99
2,SG,193,88,19,NCAA,35,35,33.9,6.6,14.71,0.449,2.71,6.6,0.411,3.37,4.46,0.756,1,4.66,5.66,5,1.57,0.31,2.11,2.91,19.29,0.573,0.541,3.61,15.42,9.76,30.11,14.76,2.81,1.07,30.15,161.62,1.22,1.31,115.8,93.7,25.2
3,C,211,125,19,NCAA,38,38,30.1,7.34,11.05,0.664,0,0,0,2.61,5.11,0.51,3.53,4.95,8.47,1.29,0.76,1.42,2.13,2.5,17.29,0.641,0.664,14.73,18.21,16.58,9.43,15.65,1.53,4.48,27.54,117.46,-5.4,1.56,119.9,94.7,28.46
4,FC,221,109,19,INTERNATIONAL,50,27,21.4,4.14,8.34,0.496,0.84,2.34,0.359,1.88,2.5,0.752,1.38,3.22,4.6,0.54,0.9,1.04,2.62,1.42,11,0.583,0.547,8.36,18.77,13.66,5.21,13.08,2.33,5.21,24.59,160.74,-5.13,1.32,110.2,107.3,19.64
5,SG,203,100,20,INTERNATIONAL,66,16,15.1,2.18,4.74,0.46,1.09,2.83,0.385,0.39,0.55,0.722,0.35,1.64,1.98,1.11,0.65,0.11,1.68,1.08,5.85,0.587,0.575,3.18,13.51,8.61,12.17,17.76,2.47,0.66,19.91,156.73,-2.39,1.23,106.3,105.2,13.33
6,C,213,109,21,NCAA,105,70,24.5,3.3,5.55,0.593,0,0,0,1.44,2.83,0.508,2.33,3.8,6.13,0.86,1.1,2.23,2.34,1.21,8.03,0.582,0.593,11.61,16.81,14.36,7,14.92,2.73,9.32,16.85,110.19,-2.63,1.45,116.5,86.3,21.41
7,SG,196,91,19,INTERNATIONAL,12,0,31.5,7.33,15.33,0.478,1.08,3.17,0.342,2.25,3.92,0.574,2,4.25,6.25,5.92,1.58,0.08,1.58,3.25,18,0.528,0.514,7.73,17.04,12.3,31.84,16,2.65,0.24,29.09,139.48,2.23,1.17,110.1,111.3,17.88
8,G,198,110,19,NCAA,38,37,28.4,4.58,10.26,0.446,1.13,3.05,0.371,3.47,4.68,0.742,1.97,4.53,6.5,1.66,1.5,0.39,2.63,2.16,13.76,0.551,0.501,8.89,19.14,14.18,11.64,14.73,3.17,1.58,26.59,155.84,-3.63,1.34,111.1,86.6,21.4
9,F,213,110,22,NCAA,144,79,20.4,3.67,7.03,0.522,0.72,1.94,0.369,2.06,2.7,0.763,1.26,3.35,4.62,1.31,0.53,1.06,1.62,0.84,10.12,0.609,0.573,7.82,20.03,14.03,15.36,9.18,1.72,5.26,25.56,165.49,0.16,1.44,126.4,90.2,28.19
10,SF,198,101,19,NCAA,39,39,29.1,4.44,9.13,0.486,1.18,2.82,0.418,2.56,4,0.641,1.26,5.21,6.46,2.1,1.33,0.87,2.77,1.82,12.62,0.572,0.551,5.44,19.84,13.09,13.19,14.17,2.77,2.85,22.9,154.52,-1.43,1.38,115.2,91.9,21.17
11,FC,211,113,19,NCAA,34,7,22.2,3.44,7.56,0.455,0.5,1.82,0.274,2.76,3.29,0.839,1.29,5.24,6.53,0.59,0.29,2.62,2.41,1.38,10.15,0.556,0.488,7.2,24.94,16.76,6.25,13.16,0.84,12.25,25.11,156.87,-4.63,1.34,112.6,85.3,24.13
