RMSE,Hidden Nodes,Learning Rate,Momentum,Regularization
21.87825749637093,32,0.01,0.0,0
22.168468396461776,32,0.01,0.0,1e-05
22.15003615850445,32,0.01,0.0,0.0001
22.111434233090108,32,0.01,0.0,0.0005
21.975814265777274,32,0.01,0.5,0
40.01329004408482,32,0.01,0.5,1e-05
45.22459804270454,32,0.01,0.5,0.0001
34.174381801149586,32,0.01,0.5,0.0005
22.160545722077842,32,0.01,0.8,0
36.46136774831198,32,0.01,0.8,1e-05
22.132289382560465,32,0.01,0.8,0.0001
30.63748460125936,32,0.01,0.8,0.0005
26.082597650295067,32,0.01,1.0,0
21.85622797538122,32,0.01,1.0,1e-05
48.94702287099605,32,0.01,1.0,0.0001
41.1214297795401,32,0.01,1.0,0.0005
23.08118506513796,32,0.1,0.0,0
19.7131663072804,32,0.1,0.0,1e-05
17.923629715322768,32,0.1,0.0,0.0001
20.56495407880524,32,0.1,0.0,0.0005
20.318684628920707,32,0.1,0.5,0
18.72569241270757,32,0.1,0.5,1e-05
19.47867143639629,32,0.1,0.5,0.0001
19.514387836391034,32,0.1,0.5,0.0005
21.318162918537784,32,0.1,0.8,0
19.94646400244353,32,0.1,0.8,1e-05
19.319755368351107,32,0.1,0.8,0.0001
26.376481487915278,32,0.1,0.8,0.0005
19.407129629090534,32,0.1,1.0,0
18.06813048466735,32,0.1,1.0,1e-05
21.31600227428591,32,0.1,1.0,0.0001
23.23140147450401,32,0.1,1.0,0.0005
44.78033684184215,32,0.8,0.0,0
12.53746483232975,32,0.8,0.0,1e-05
44.791928889537516,32,0.8,0.0,0.0001
45.918938610539236,32,0.8,0.0,0.0005
46.723061805306855,32,0.8,0.5,0
16.8297828379412,32,0.8,0.5,1e-05
44.486737331834746,32,0.8,0.5,0.0001
16.554343962798452,32,0.8,0.5,0.0005
45.02092248645577,32,0.8,0.8,0
44.936401559279425,32,0.8,0.8,1e-05
45.983570164215216,32,0.8,0.8,0.0001
43.803930172982234,32,0.8,0.8,0.0005
19.295470709827026,32,0.8,1.0,0
45.247456709895346,32,0.8,1.0,1e-05
44.488694960535355,32,0.8,1.0,0.0001
44.36778642034162,32,0.8,1.0,0.0005
46.957063621733184,32,1.0,0.0,0
43.6864056466805,32,1.0,0.0,1e-05
19.382767124768005,32,1.0,0.0,0.0001
16.243518172300817,32,1.0,0.0,0.0005
43.94044643352736,32,1.0,0.5,0
19.37677160992574,32,1.0,0.5,1e-05
18.260367048804902,32,1.0,0.5,0.0001
42.78335501918774,32,1.0,0.5,0.0005
47.40140810351546,32,1.0,0.8,0
15.905612282083878,32,1.0,0.8,1e-05
45.18228882778984,32,1.0,0.8,0.0001
16.05046189156207,32,1.0,0.8,0.0005
44.22058819258042,32,1.0,1.0,0
20.29181370907862,32,1.0,1.0,1e-05
44.87020361149557,32,1.0,1.0,0.0001
16.78854161684274,32,1.0,1.0,0.0005
22.100880069069472,64,0.01,0.0,0
22.150870745745493,64,0.01,0.0,1e-05
22.0904924995235,64,0.01,0.0,0.0001
22.11730647093951,64,0.01,0.0,0.0005
22.1619549526204,64,0.01,0.5,0
22.1295960472067,64,0.01,0.5,1e-05
22.109857497904684,64,0.01,0.5,0.0001
22.169463259565646,64,0.01,0.5,0.0005
22.32733396432974,64,0.01,0.8,0
22.068926012755888,64,0.01,0.8,1e-05
22.009751146303106,64,0.01,0.8,0.0001
21.846815330969743,64,0.01,0.8,0.0005
22.210537234590426,64,0.01,1.0,0
21.95949265439405,64,0.01,1.0,1e-05
21.897522817951273,64,0.01,1.0,0.0001
22.1619872287783,64,0.01,1.0,0.0005
25.25033135170763,64,0.1,0.0,0
24.633985863246185,64,0.1,0.0,1e-05
20.65027644339839,64,0.1,0.0,0.0001
20.37180183271403,64,0.1,0.0,0.0005
25.426214814904252,64,0.1,0.5,0
30.033479165670585,64,0.1,0.5,1e-05
18.26467956249056,64,0.1,0.5,0.0001
22.48546685498357,64,0.1,0.5,0.0005
29.31704639785244,64,0.1,0.8,0
21.40583564887666,64,0.1,0.8,1e-05
19.171553151641337,64,0.1,0.8,0.0001
20.41038440920246,64,0.1,0.8,0.0005
20.91291304444964,64,0.1,1.0,0
21.91116933048317,64,0.1,1.0,1e-05
20.02376557180368,64,0.1,1.0,0.0001
20.30985421005478,64,0.1,1.0,0.0005
47.574525466762644,64,0.8,0.0,0
47.400989987683595,64,0.8,0.0,1e-05
20.059775659788226,64,0.8,0.0,0.0001
17.45258275148283,64,0.8,0.0,0.0005
46.42766053690282,64,0.8,0.5,0
21.325207282419488,64,0.8,0.5,1e-05
16.683182958814225,64,0.8,0.5,0.0001
20.510258626536466,64,0.8,0.5,0.0005
48.317085276777235,64,0.8,0.8,0
16.84633501492502,64,0.8,0.8,1e-05
20.056239997221606,64,0.8,0.8,0.0001
18.772006595155812,64,0.8,0.8,0.0005
47.40029405046755,64,0.8,1.0,0
15.169558832813546,64,0.8,1.0,1e-05
47.290386771866984,64,0.8,1.0,0.0001
17.428612661066225,64,0.8,1.0,0.0005
49.46356096699278,64,1.0,0.0,0
48.36000016423507,64,1.0,0.0,1e-05
16.76465034943265,64,1.0,0.0,0.0001
21.21158932343441,64,1.0,0.0,0.0005
48.12001239540461,64,1.0,0.5,0
21.12643211382848,64,1.0,0.5,1e-05
17.507925032921882,64,1.0,0.5,0.0001
17.476996946532555,64,1.0,0.5,0.0005
