me,iteration,criterion,splitter,max depth,min_samp_split,min_samp_leaf,min_weight_frac_leaf,min_impurity_dec
9.56026260504202,1,absolute_error,best,8,4,1,0.01,0.001
9.56704831932773,1,absolute_error,best,8,4,4,0.01,0.01
9.56883403361345,1,absolute_error,best,48,2,2,0.01,0.01
9.5709768907563,1,absolute_error,best,8,2,2,0.01,0.001
9.5734768907563,1,absolute_error,best,48,6,4,0.01,0.001
9.57526260504202,1,absolute_error,best,48,4,1,0.01,0.01
9.57811974789916,1,absolute_error,best,48,6,4,0.01,0.01
9.58633403361344,1,absolute_error,best,24,2,1,0.01,0.001
9.58704831932773,1,absolute_error,best,8,2,4,0.01,0.01
9.58883403361345,1,absolute_error,best,32,6,4,0.01,0.001
9.5934768907563,1,absolute_error,best,8,6,1,0.01,0.001
9.59561974789916,1,absolute_error,best,16,6,2,0.01,0.001
9.60026260504202,1,absolute_error,best,48,2,1,0.01,0.001
9.60204831932773,1,absolute_error,best,48,4,1,0.01,0.001
9.6034768907563,1,absolute_error,best,48,4,4,0.01,0.01
9.60490546218487,1,absolute_error,best,16,6,4,0.01,0.001
9.6084768907563,1,absolute_error,best,24,4,2,0.01,0.01
9.61204831932773,1,absolute_error,best,24,4,2,0.01,0.001
9.61276260504202,1,absolute_error,best,16,6,2,0.01,0.01
9.61383403361345,1,absolute_error,best,16,6,1,0.01,0.01
9.61419117647059,1,absolute_error,best,48,2,1,0.01,0.01
9.61704831932773,1,absolute_error,best,32,2,4,0.01,0.01
9.62169117647059,1,absolute_error,best,48,4,4,0.01,0.001
9.62490546218487,1,absolute_error,best,16,2,2,0.01,0.01
9.62526260504202,1,absolute_error,best,8,2,4,0.01,0
9.62883403361345,1,absolute_error,best,24,6,4,0.01,0.01
9.62954831932773,1,absolute_error,best,32,4,4,0.01,0.01
9.63240546218487,1,absolute_error,best,24,4,1,0.01,0.001
9.6334768907563,1,absolute_error,best,8,6,2,0.01,0
9.6359768907563,1,absolute_error,best,8,2,1,0.01,0.01
9.63704831932773,1,absolute_error,best,8,6,2,0.01,0.001
9.63954831932773,1,absolute_error,best,48,6,1,0.01,0.001
9.6459768907563,1,absolute_error,best,32,6,4,0.01,0.01
9.64704831932773,1,absolute_error,best,48,2,4,0.01,0.01
9.64740546218487,1,absolute_error,best,8,4,2,0.01,0
9.64740546218487,1,absolute_error,best,16,4,1,0.01,0.01
9.65177521008404,1,absolute_error,best,16,6,4,0.01,0
9.6534768907563,1,absolute_error,best,16,2,1,0.01,0.001
