me,iteration,criterion,splitter,max depth,min_samp_split,min_samp_leaf,min_weight_frac_leaf,min_impurity_dec
9.60822478991597,1,absolute_error,best,16,6,4,0.01,0.01
9.62679621848739,1,absolute_error,best,16,6,1,0.01,0.01
9.63001050420168,1,absolute_error,best,24,2,4,0.01,0.01
9.63501050420168,1,absolute_error,best,16,4,1,0.01,0.01
9.63608193277311,1,absolute_error,best,32,6,1,0.01,0.01
9.63643907563025,1,absolute_error,best,24,4,4,0.01,0.01
9.63693277310924,1,absolute_error,best,48,4,1,0.01,0.01
9.63718487394958,1,absolute_error,best,16,4,1,0.01,0.001
9.6390756302521,1,absolute_error,best,48,4,2,0.01,0.01
9.63929621848739,1,absolute_error,best,32,2,1,0.01,0.01
9.64001050420168,1,absolute_error,best,48,4,4,0.01,0.01
9.64397058823529,1,absolute_error,best,16,6,2,0.01,0.001
9.64443277310924,1,absolute_error,best,48,2,1,0.01,0.01
9.64504201680672,1,absolute_error,best,24,6,1,0.01,0.001
9.64536764705882,1,absolute_error,best,48,6,1,0.01,0.01
9.6465756302521,1,absolute_error,best,24,4,2,0.01,0.01
9.6467962184874,1,absolute_error,best,16,6,2,0.01,0.01
9.65004201680672,1,absolute_error,best,32,2,4,0.01,0.001
9.65086134453781,1,absolute_error,best,16,4,2,0.01,0.01
9.65228991596639,1,absolute_error,best,16,2,1,0.01,0.01
9.65561974789916,1,absolute_error,best,16,2,1,0.01,0.001
9.65575630252101,1,absolute_error,best,48,6,1,0.01,0.001
9.66001050420168,1,absolute_error,best,16,2,4,0.01,0.01
9.66086134453781,1,absolute_error,best,32,4,4,0.01,0.01
9.66133403361345,1,absolute_error,best,32,2,2,0.01,0.001
9.66254201680672,1,absolute_error,best,32,6,4,0.01,0.001
9.6659768907563,1,absolute_error,best,16,4,4,0.01,0.001
9.66718487394958,1,absolute_error,best,16,4,2,0.01,0.001
9.66789915966387,1,absolute_error,best,24,4,2,0.01,0.001
9.66954831932773,1,absolute_error,best,32,4,1,0.01,0.001
9.67050420168067,1,absolute_error,best,24,2,2,0.01,0.01
9.6809768907563,1,absolute_error,best,16,6,4,0.01,0.001
9.68539915966387,1,absolute_error,best,24,4,1,0.01,0.001
9.68611344537815,1,absolute_error,best,16,6,1,0.01,0.001
9.69075630252101,1,absolute_error,best,32,6,2,0.01,0.001
9.69920168067227,1,absolute_error,best,8,6,1,0.01,0
9.70325630252101,1,absolute_error,best,16,2,2,0.01,0.001
9.71533613445378,1,absolute_error,best,16,6,2,0.01,0
9.71838235294118,1,absolute_error,best,8,2,1,0.01,0.01
9.71981092436975,1,absolute_error,best,8,6,1,0.01,0.01
9.72242647058824,1,absolute_error,best,8,6,1,0.01,0.001
9.72256302521008,1,absolute_error,best,8,2,1,0.01,0.001
9.72373949579832,1,absolute_error,best,8,2,4,0.01,0.01
9.72588235294118,1,absolute_error,best,8,6,2,0.01,0.01
9.72792016806723,1,absolute_error,best,8,6,4,0.01,0.001
9.72838235294118,1,absolute_error,best,8,4,2,0.01,0.01
9.73077731092437,1,absolute_error,best,8,6,2,0.01,0.001
9.73113445378151,1,absolute_error,best,8,4,1,0.01,0.001
9.73242647058823,1,absolute_error,best,8,4,4,0.01,0.001
9.76733193277311,1,absolute_error,best,24,6,4,0.01,0
9.76838235294118,1,absolute_error,best,32,4,2,0.01,0.01
9.77266806722689,1,absolute_error,best,32,6,2,0.01,0.01
9.77561974789916,1,absolute_error,best,16,6,1,0.01,0
9.77788865546219,1,absolute_error,best,32,2,2,0.01,0.01
9.77838235294118,1,absolute_error,best,24,6,2,0.01,0.01
9.78338235294118,1,absolute_error,best,48,2,2,0.01,0.01
9.78445378151261,1,absolute_error,best,48,6,4,0.01,0.01
9.7846743697479,1,absolute_error,best,32,4,1,0.01,0.01
9.78481092436975,1,absolute_error,best,32,6,4,0.01,0.01
9.78821428571429,1,absolute_error,best,32,4,2,0.01,0.001
9.78873949579832,1,absolute_error,best,8,4,1,0.01,0
9.78984243697479,1,absolute_error,best,32,2,4,0.01,0.01
9.79033613445378,1,absolute_error,best,16,2,2,0.01,0.01
9.79111344537815,1,absolute_error,best,48,4,4,0.01,0.001
9.79127100840336,1,absolute_error,best,48,4,4,0.01,0
9.79159663865546,1,absolute_error,best,24,6,4,0.01,0.01
9.79266806722689,1,absolute_error,best,48,2,4,0.01,0.01
9.79341386554622,1,absolute_error,best,48,6,2,0.01,0.01
9.79355042016807,1,absolute_error,best,24,2,1,0.01,0.01
9.79409663865546,1,absolute_error,best,8,2,4,0.01,0
9.79484243697479,1,absolute_error,best,8,2,2,0.01,0
9.79575630252101,1,absolute_error,best,24,2,1,0.01,0.001
9.79629201680672,1,absolute_error,best,48,4,1,0.01,0.001
9.79783613445378,1,absolute_error,best,16,4,4,0.01,0.01
9.79805672268907,1,absolute_error,best,24,4,1,0.01,0.01
9.80091386554622,1,absolute_error,best,24,6,1,0.01,0.01
9.80419117647059,1,absolute_error,best,32,6,1,0.01,0.001
9.80700630252101,1,absolute_error,best,48,2,4,0.01,0.001
9.80821428571429,1,absolute_error,best,24,2,2,0.01,0.001
9.80919117647059,1,absolute_error,best,32,2,1,0.01,0.001
9.81200630252101,1,absolute_error,best,16,2,4,0.01,0.001
9.81301470588235,1,absolute_error,best,48,2,4,0.01,0
9.81490546218487,1,absolute_error,best,24,6,4,0.01,0.001
9.81535714285714,1,absolute_error,best,24,2,4,0.01,0.001
9.81647058823529,1,absolute_error,best,48,2,2,0.01,0.001
9.81678571428571,1,absolute_error,best,48,6,2,0.01,0.001
9.81776260504202,1,absolute_error,best,48,2,1,0.01,0.001
9.82397058823529,1,absolute_error,best,48,6,4,0.01,0.001
9.82504201680672,1,absolute_error,best,24,6,2,0.01,0.001
9.82539915966387,1,absolute_error,best,32,4,4,0.01,0.001
9.83120798319328,1,absolute_error,best,8,4,2,0.01,0
9.83454831932773,1,absolute_error,best,16,4,2,0.01,0
9.83486344537815,1,absolute_error,best,48,4,2,0.01,0.001
9.84075630252101,1,absolute_error,best,24,4,4,0.01,0.001
9.84798319327731,1,absolute_error,best,8,4,4,0.01,0
9.85134453781513,1,absolute_error,best,8,6,2,0.01,0
9.85376050420168,1,absolute_error,best,8,6,4,0.01,0.01
9.85634453781513,1,absolute_error,best,48,4,1,0.01,0
9.85964285714286,1,absolute_error,best,8,4,4,0.01,0.01
9.86452731092437,1,absolute_error,best,8,4,2,0.01,0.001
9.86821428571429,1,absolute_error,best,8,2,2,0.01,0.01
9.87040966386555,1,absolute_error,best,8,4,1,0.01,0.01
9.87135504201681,1,absolute_error,best,8,2,4,0.01,0.001
9.87675420168067,1,absolute_error,best,32,4,2,0.01,0
9.88069327731093,1,absolute_error,best,24,6,2,0.01,0
9.88373949579832,0,absolute_error,best,24,4,4,0.01,0.01
9.88409663865546,0,absolute_error,best,24,2,2,0.01,0.01
9.8878781512605,1,absolute_error,best,8,2,2,0.01,0.001
9.8884768907563,1,absolute_error,best,16,2,4,0.01,0
9.89443277310924,0,absolute_error,best,8,4,1,0.01,0.01
9.89668067226891,0,absolute_error,best,32,4,4,0.01,0.001
9.89981092436975,0,absolute_error,best,16,4,2,0.01,0.01
9.90055672268908,1,absolute_error,best,8,2,1,0.01,0
9.90632352941176,0,absolute_error,best,24,6,2,0.01,0.001
9.90775210084034,0,absolute_error,best,24,2,4,0.01,0.001
9.91014705882353,1,absolute_error,best,32,4,1,0.01,0
9.91338235294118,0,absolute_error,best,48,6,4,0.01,0.01
9.91481092436975,0,absolute_error,best,24,6,4,0.01,0.01
9.91588235294118,0,absolute_error,best,24,2,4,0.01,0.01
9.91695378151261,0,absolute_error,best,24,4,1,0.01,0.01
9.91871848739496,0,absolute_error,best,8,6,2,0.01,0.01
9.91909663865546,0,absolute_error,best,16,2,2,0.01,0.01
9.92623949579832,0,absolute_error,best,48,6,2,0.01,0.01
9.92668067226891,0,absolute_error,best,16,4,2,0.01,0.001
9.92695378151261,0,absolute_error,best,32,6,2,0.01,0.01
9.92838235294118,0,absolute_error,best,24,2,1,0.01,0.01
9.92871848739496,0,absolute_error,best,8,2,1,0.01,0.01
9.92873949579832,0,absolute_error,best,16,6,1,0.01,0.01
9.92970588235294,1,absolute_error,best,16,4,4,0.01,0
9.93058823529412,0,absolute_error,best,8,2,4,0.01,0.001
9.93088235294118,0,absolute_error,best,32,6,1,0.01,0.01
9.93115546218487,1,absolute_error,best,48,6,4,0.01,0
9.93132352941177,0,absolute_error,best,32,6,4,0.01,0.001
9.93195378151261,0,absolute_error,best,24,6,2,0.01,0.01
9.93203781512605,0,absolute_error,best,48,2,1,0.01,0.001
9.93360294117647,1,absolute_error,best,16,6,4,0.01,0
9.93373949579832,0,absolute_error,best,32,4,1,0.01,0.01
