me,iteration,criterion,splitter,max depth,min_samp_split,min_samp_leaf,min_weight_frac_leaf,min_impurity_dec
13.303542850644,0,poisson,best,48,4,4,0.01,0.01
13.371362116404,0,poisson,best,48,6,4,0.01,0.01
13.3814633389558,0,poisson,best,32,4,2,0.01,0.01
13.4094225817517,0,poisson,best,48,6,2,0.01,0.01
13.4293706172044,0,poisson,best,48,6,1,0.01,0.01
13.4459708581525,0,poisson,best,48,2,2,0.01,0.01
13.4607126085464,0,poisson,best,48,2,1,0.01,0.01
13.4675887715182,0,poisson,best,48,2,2,0.01,0
13.5216120839425,0,poisson,best,32,4,4,0.01,0.01
13.5269011037938,0,poisson,best,48,2,1,0.01,0.001
13.5362179060349,0,poisson,best,32,4,1,0.01,0.01
13.5367874703225,0,poisson,best,48,4,4,0.01,0.001
13.546792186739,0,poisson,best,48,6,1,0.01,0
13.5472697849882,0,poisson,best,48,4,2,0.01,0.01
13.5592812241178,0,poisson,best,48,6,1,0.01,0.001
13.5593048342223,0,poisson,best,48,6,4,0.01,0.001
13.570780741234,0,poisson,best,32,2,2,0.01,0.001
13.5725104040183,0,poisson,best,48,4,1,0.01,0.01
13.5758086540586,0,poisson,best,32,2,4,0.01,0
13.5791600945895,0,poisson,best,32,6,1,0.01,0.01
13.5807331227094,0,poisson,best,48,2,2,0.01,0.001
13.582322553459,0,poisson,best,32,4,4,0.01,0
13.5865220775299,0,poisson,best,48,2,4,0.01,0.01
13.590892705092,0,poisson,best,32,6,4,0.01,0.01
13.5969619310384,0,poisson,best,48,4,1,0.01,0
13.6022704796879,0,poisson,best,48,6,2,0.01,0
13.6213935709213,0,poisson,best,48,4,4,0.01,0
13.6282947147121,0,poisson,best,48,2,4,0.01,0.001
13.6314198940526,0,poisson,best,32,2,2,0.01,0.01
13.6327608677582,1,poisson,best,48,4,2,0.01,0
13.6333961316417,0,poisson,best,48,4,2,0.01,0.001
13.6497859087033,0,poisson,best,48,4,2,0.01,0
13.6535732879907,0,poisson,best,48,4,1,0.01,0.001
13.6626372904371,0,poisson,best,48,2,4,0.01,0
13.6716952618393,0,poisson,best,32,6,2,0.01,0
13.6758727728572,1,poisson,best,48,4,2,0.01,0.01
13.6770014020079,0,poisson,best,32,2,1,0.01,0.01
13.6819547651364,0,poisson,best,32,6,1,0.01,0
13.685578113819,0,poisson,best,32,2,1,0.01,0
13.688792823441,1,poisson,best,48,2,2,0.01,0.001
13.6894343891403,0,absolute_error,best,8,6,4,0.01,0.01
13.6903591130066,0,poisson,best,32,2,4,0.01,0.01
13.6915071847481,0,poisson,best,32,4,4,0.01,0.001
13.6971631501836,0,poisson,best,32,6,2,0.01,0.01
13.6989786306716,1,poisson,best,48,6,4,0.01,0.001
13.6998578343619,0,squared_error,best,8,4,4,0.001,0.01
13.7006309893766,0,poisson,best,48,2,1,0.01,0
13.7013060306963,1,poisson,best,48,4,1,0.01,0
13.7023160362802,0,squared_error,best,8,2,4,0.01,0.01
13.7026584511935,0,poisson,best,48,6,2,0.01,0.001
13.7050612595339,1,poisson,best,48,6,2,0.01,0.01
13.7066783690276,1,poisson,best,32,2,2,0.01,0
13.7126278237063,0,friedman_mse,best,8,6,1,0.01,0.001
13.7135517553592,1,poisson,best,32,4,4,0.01,0
13.713934539242,1,poisson,best,32,2,1,0.01,0
13.7157281130441,1,poisson,best,32,6,1,0.01,0.01
13.7158177671961,0,friedman_mse,best,8,2,2,0.01,0.01
13.7164496959341,1,poisson,best,48,2,1,0.01,0.01
13.7213295369602,0,poisson,best,32,4,1,0.01,0.001
13.7222312088269,0,friedman_mse,best,8,6,2,0.01,0.001
13.7241295973839,0,poisson,best,32,2,4,0.01,0.001
13.7265918176988,0,squared_error,best,8,2,4,0.001,0.001
13.7279991753152,1,poisson,best,32,4,1,0.01,0.01
13.7288915599701,0,friedman_mse,best,8,4,2,0.01,0
13.7339918905148,0,squared_error,best,8,6,2,0.01,0.001
13.7363897284682,0,squared_error,best,8,4,4,0.01,0.01
13.738686850727,0,friedman_mse,best,8,2,2,0.01,0.001
13.7406295601081,1,poisson,best,48,4,2,0.01,0.001
13.7437706220281,0,friedman_mse,best,8,6,2,0.01,0
13.7462075756161,0,squared_error,best,8,6,2,0.01,0
13.7463273311766,1,poisson,best,32,6,4,0.01,0.001
13.7501182340824,0,squared_error,best,8,2,2,0.01,0
13.7518871602364,1,poisson,best,32,4,1,0.01,0.001
13.753633282826,0,friedman_mse,best,8,6,4,0.001,0.01
13.7551863055356,1,poisson,best,32,2,2,0.01,0.001
13.755350678733,0,absolute_error,best,8,4,2,0.01,0.001
13.7562044453131,0,squared_error,best,8,6,1,0.01,0
13.7576740596116,1,poisson,best,32,6,2,0.01,0.001
13.7585152679238,0,squared_error,best,8,2,2,0.01,0.001
13.7602668208566,0,squared_error,best,8,6,4,0.001,0.001
13.7609411101669,0,poisson,best,32,6,4,0.01,0.001
13.7609422450492,0,friedman_mse,best,8,6,4,0,0.01
13.7629638095595,0,squared_error,best,8,4,2,0.01,0.01
13.764324746065,0,squared_error,best,8,6,4,0.01,0.001
13.7656811842147,0,friedman_mse,best,8,4,4,0,0.001
13.7677481058551,0,friedman_mse,best,8,4,4,0.001,0.001
13.7686246118901,2,poisson,best,32,6,2,0.01,0.01
13.769317527255,1,poisson,best,32,2,1,0.01,0.001
13.7709515974745,0,squared_error,best,8,4,4,0.01,0
13.7709945430346,0,squared_error,best,8,6,1,0.01,0.01
13.7711010544257,1,poisson,best,48,2,2,0.01,0
13.771264653643,0,squared_error,best,8,2,1,0.01,0
13.7741484897744,0,friedman_mse,best,8,4,4,0.01,0.001
13.77463148671,0,squared_error,best,8,4,2,0.01,0.001
13.775074733985,1,poisson,best,32,2,4,0.01,0.01
13.7755762754226,2,poisson,best,32,6,4,0.01,0.01
13.7762812834891,1,poisson,best,32,4,4,0.01,0.01
13.7763305463468,0,squared_error,best,8,6,4,0.001,0
13.7763521630748,1,poisson,best,48,4,1,0.01,0.01
13.777465121192,1,poisson,best,32,4,1,0.01,0
13.7776351497136,0,friedman_mse,best,8,2,4,0.01,0
13.7794233195303,0,friedman_mse,best,8,2,4,0,0.01
13.7796607907393,0,friedman_mse,best,8,6,1,0.01,0.01
13.7811970187199,0,friedman_mse,best,8,2,1,0.01,0.01
13.7819656774992,0,squared_error,best,8,6,4,0.001,0.01
13.7820663190014,1,poisson,best,48,6,1,0.01,0.001
13.7823097664168,0,friedman_mse,best,8,2,4,0.001,0.01
13.7838256259041,0,friedman_mse,best,8,2,2,0.01,0
13.7839366515837,0,absolute_error,best,8,6,4,0.01,0.001
13.7841594787854,0,squared_error,best,8,6,4,0.01,0.01
13.7841848211501,0,poisson,best,32,2,2,0.01,0
13.7845748709151,0,poisson,best,32,6,4,0.01,0
13.7861044608864,0,friedman_mse,best,8,2,2,0,0.001
13.7865172696647,1,poisson,best,48,6,1,0.01,0.01
13.787306476715,0,squared_error,best,8,2,4,0.01,0
13.7875865648391,0,friedman_mse,best,8,4,2,0,0.01
13.7881753175886,0,squared_error,best,8,6,4,0,0.01
13.7891743968843,0,friedman_mse,best,8,2,4,0,0
13.7899591285489,0,squared_error,best,8,2,4,0,0
13.7903091369371,0,poisson,best,48,6,4,0.01,0
13.7917075258462,1,poisson,best,32,6,4,0.01,0
13.7931190851592,0,friedman_mse,best,8,4,2,0.01,0.01
13.7950857448325,0,squared_error,best,8,6,2,0.01,0.01
13.7959316015622,0,poisson,best,32,4,2,0.01,0
13.7979735754964,0,friedman_mse,best,8,6,4,0.01,0.01
13.7983950259848,0,friedman_mse,best,8,2,4,0.001,0.001
13.7990205839163,1,poisson,best,32,2,4,0.01,0.001
13.7993127465702,0,squared_error,best,8,6,1,0.01,0.001
13.8010276694746,0,squared_error,best,8,4,1,0.01,0
13.8024818819288,0,friedman_mse,best,8,2,1,0.01,0.001
13.8030176321263,0,friedman_mse,best,8,6,2,0.01,0.01
13.8089741538654,0,squared_error,best,8,4,2,0.01,0
13.8102354014788,0,poisson,best,32,4,1,0.01,0
13.8148237590165,0,friedman_mse,best,8,2,4,0.001,0
13.8148758643196,0,squared_error,best,8,6,2,0.001,0.01
13.8193718324119,0,friedman_mse,best,8,4,1,0.01,0.001
13.8201657525441,0,friedman_mse,best,8,4,2,0.01,0.001
13.8213291637425,0,squared_error,best,8,4,4,0,0.001
13.8217527847929,0,friedman_mse,best,8,2,4,0.01,0.001
13.8217743438528,0,friedman_mse,best,8,6,1,0.01,0
13.8218552036199,0,absolute_error,best,8,4,2,0.01,0.01
13.8231837144161,1,poisson,best,48,6,2,0.01,0.001
13.8233939326626,1,poisson,best,32,4,4,0.01,0.001
13.8243318162623,0,friedman_mse,best,8,4,4,0,0
13.8254313722288,1,poisson,best,48,6,4,0.01,0.01
13.8269445483578,0,friedman_mse,best,8,6,4,0.001,0.001
13.8271307113602,0,squared_error,best,8,4,1,0.01,0.001
13.8282907537401,2,poisson,best,48,6,4,0.01,0.01
13.8289183898768,0,squared_error,best,8,4,2,0,0
13.8296982208347,2,poisson,best,32,4,4,0.01,0.001
13.8297973192058,0,friedman_mse,best,8,2,4,0.01,0.01
13.8306581838877,0,squared_error,best,8,2,2,0.01,0.01
13.8307102059029,0,squared_error,best,8,2,4,0,0.01
13.8309591285489,0,squared_error,best,8,2,4,0.001,0
13.8325929897857,0,friedman_mse,best,8,6,4,0,0
13.8343147222453,0,squared_error,best,8,6,4,0,0
13.83563950857,0,friedman_mse,best,8,4,4,0,0.01
13.8358080067385,0,friedman_mse,best,8,2,4,0,0.001
13.8358310823042,0,squared_error,best,8,6,2,0,0.001
13.8391452468055,1,poisson,best,32,6,4,0.01,0.01
13.8399711313094,0,squared_error,best,8,6,2,0.001,0
13.8412292606149,1,poisson,best,48,2,4,0.01,0.01
13.8418778280543,0,absolute_error,best,8,2,2,0.01,0.001
