me,iteration,k,distance metric
11.6988655462185,2,3,euclidean
11.6988655462185,2,3,minkowski
11.7265210084034,0,5,euclidean
11.7265210084034,0,5,minkowski
11.7471638655462,2,7,manhattan
11.7507016806723,2,5,manhattan
11.751218487395,2,3,manhattan
11.7859687208217,2,9,manhattan
11.7925420168067,1,3,manhattan
11.8059733893557,0,3,euclidean
11.8059733893557,0,3,minkowski
11.8064579831933,0,5,manhattan
11.8147178871549,1,7,manhattan
11.8388585434174,0,3,manhattan
11.8392899159664,1,5,manhattan
11.8421867838044,2,11,manhattan
11.8556392557023,0,7,euclidean
11.8556392557023,0,7,minkowski
11.8601410564226,0,7,manhattan
11.8681242496999,2,7,euclidean
11.8681242496999,2,7,minkowski
11.8699159663866,0,9,manhattan
11.8980084033613,2,5,euclidean
11.8980084033613,2,5,minkowski
11.9036115355233,0,11,manhattan
11.9161414565826,1,9,manhattan
11.9383661926309,2,13,manhattan
11.947731092437,1,3,euclidean
11.947731092437,1,3,minkowski
11.9516080977846,1,11,manhattan
11.9691680672269,1,5,euclidean
11.9691680672269,1,5,minkowski
11.9704686489981,1,13,manhattan
11.973793517407,1,7,euclidean
11.973793517407,1,7,minkowski
11.9854038281979,2,9,euclidean
11.9854038281979,2,9,minkowski
11.9983986928105,0,9,euclidean
11.9983986928105,0,9,minkowski
12.0126680672269,0,13,manhattan
12.0290756302521,0,3,chebyshev
12.0326890756303,2,15,manhattan
12.049418767507,1,9,euclidean
12.049418767507,1,9,minkowski
12.0563006111536,0,11,euclidean
12.0563006111536,0,11,minkowski
12.0852142857143,0,15,manhattan
12.1034970911442,0,13,euclidean
12.1034970911442,0,13,minkowski
12.1040255332902,2,13,euclidean
12.1040255332902,2,13,minkowski
12.117675070028,1,15,manhattan
12.1300229182582,1,11,euclidean
12.1300229182582,1,11,minkowski
12.1503403361345,0,15,euclidean
12.1503403361345,0,15,minkowski
12.1582394957983,0,5,chebyshev
12.1664763177999,2,11,euclidean
12.1664763177999,2,11,minkowski
12.1854880413704,1,13,euclidean
12.1854880413704,1,13,minkowski
12.1866162464986,2,15,euclidean
12.1866162464986,2,15,minkowski
12.2132408963585,1,15,euclidean
12.2132408963585,1,15,minkowski
12.2555504201681,2,5,chebyshev
12.2603851540616,1,3,chebyshev
12.2883823529412,1,5,chebyshev
12.3269817927171,2,3,chebyshev
12.4871038415366,0,7,chebyshev
12.493856542617,2,7,chebyshev
12.5912394957983,1,7,chebyshev
12.6171685340803,0,9,chebyshev
12.6611611917494,0,11,chebyshev
12.7760597572362,1,9,chebyshev
12.7815616246499,2,9,chebyshev
12.7913606981254,0,13,chebyshev
12.8014113827349,2,11,chebyshev
12.8157448433919,1,11,chebyshev
12.8903312863607,2,13,chebyshev
12.9051001939237,1,13,chebyshev
12.9061680672269,0,15,chebyshev
12.9521736694678,1,15,chebyshev
12.9712969187675,2,15,chebyshev
12.993025210084,0,1,euclidean
12.993025210084,0,1,minkowski
13.0132142857143,1,1,euclidean
13.0132142857143,1,1,minkowski
13.2325,2,1,euclidean
13.2325,2,1,minkowski
13.3094957983193,1,1,chebyshev
13.3200630252101,0,1,chebyshev
13.5456092436975,0,1,manhattan
13.5894537815126,2,1,manhattan
13.6019327731092,1,1,manhattan
13.655525210084,2,1,chebyshev
