me,iteration,k,distance metric
13.035,0,1,euclidean
13.334579831932775,0,1,manhattan
13.780441176470589,0,1,chebyshev
13.035,0,1,minkowski
12.118494397759104,0,3,euclidean
11.913263305322129,0,3,manhattan
12.537156862745098,0,3,chebyshev
12.118494397759104,0,3,minkowski
11.968659663865548,0,5,euclidean
11.818848739495799,0,5,manhattan
12.45522268907563,0,5,chebyshev
11.968659663865548,0,5,minkowski
11.906209483793516,0,7,euclidean
11.939021608643456,0,7,manhattan
12.40437575030012,0,7,chebyshev
11.906209483793516,0,7,minkowski
11.964176003734826,0,9,euclidean
11.923949579831932,0,9,manhattan
12.668347338935575,0,9,chebyshev
11.964176003734826,0,9,minkowski
12.074153934300993,0,11,euclidean
12.012534377387318,0,11,manhattan
12.793044308632542,0,11,chebyshev
12.074153934300993,0,11,minkowski
12.145365223012282,0,13,euclidean
12.079448933419522,0,13,manhattan
12.899861021331608,0,13,chebyshev
12.145365223012282,0,13,minkowski
12.24927731092437,0,15,euclidean
12.180170868347341,0,15,manhattan
12.93094257703081,0,15,chebyshev
12.24927731092437,0,15,minkowski
12.64094537815126,1,1,euclidean
13.199936974789916,1,1,manhattan
13.781470588235294,1,1,chebyshev
12.64094537815126,1,1,minkowski
12.07329831932773,1,3,euclidean
11.883732492997199,1,3,manhattan
12.45174369747899,1,3,chebyshev
12.07329831932773,1,3,minkowski
11.950974789915966,1,5,euclidean
11.870218487394958,1,5,manhattan
12.328773109243699,1,5,chebyshev
11.950974789915966,1,5,minkowski
11.973562424969987,1,7,euclidean
11.894054621848742,1,7,manhattan
12.444924969987998,1,7,chebyshev
11.973562424969987,1,7,minkowski
12.01874649859944,1,9,euclidean
12.011743697478991,1,9,manhattan
12.664386087768442,1,9,chebyshev
12.01874649859944,1,9,minkowski
12.1295397249809,1,11,euclidean
12.071659663865546,1,11,manhattan
12.804828113063408,1,11,chebyshev
12.1295397249809,1,11,minkowski
12.196478668390434,1,13,euclidean
12.164967679379444,1,13,manhattan
12.791640271493215,1,13,chebyshev
12.196478668390434,1,13,minkowski
12.212795518207283,1,15,euclidean
12.21278711484594,1,15,manhattan
12.943259103641456,1,15,chebyshev
12.212795518207283,1,15,minkowski
12.886050420168067,2,1,euclidean
13.308151260504204,2,1,manhattan
13.88,2,1,chebyshev
12.886050420168067,2,1,minkowski
11.99878151260504,2,3,euclidean
11.96952380952381,2,3,manhattan
12.656113445378152,2,3,chebyshev
11.99878151260504,2,3,minkowski
11.789882352941175,2,5,euclidean
11.829336134453783,2,5,manhattan
12.456978991596639,2,5,chebyshev
11.789882352941175,2,5,minkowski
11.858121248499401,2,7,euclidean
11.805660264105642,2,7,manhattan
12.378961584633853,2,7,chebyshev
11.858121248499401,2,7,minkowski
11.921804388422036,2,9,euclidean
11.936984126984127,2,9,manhattan
12.681162464985995,2,9,chebyshev
11.921804388422036,2,9,minkowski
12.045601604278074,2,11,euclidean
12.041800993124523,2,11,manhattan
12.79498090145149,2,11,chebyshev
12.045601604278074,2,11,minkowski
12.209697802197804,2,13,euclidean
12.236640271493213,2,13,manhattan
12.823429217840982,2,13,chebyshev
12.209697802197804,2,13,minkowski
12.289434173669468,2,15,euclidean
12.299329131652659,2,15,manhattan
12.950350140056022,2,15,chebyshev
12.289434173669468,2,15,minkowski
