me,iteration,k,distance metric
13.1294218200101,1,9,manhattan
13.1564726450021,2,11,manhattan
13.1789099136158,0,11,manhattan
13.1910407239819,2,13,manhattan
13.1992464323007,0,13,manhattan
13.2188914027149,1,13,manhattan
13.2302388134741,2,9,manhattan
13.2430894922071,0,9,manhattan
13.2449385908209,2,7,manhattan
13.248691896339,1,11,manhattan
13.2828002088409,2,13,euclidean
13.2828002088409,2,13,minkowski
13.2922986425339,2,15,manhattan
13.306766214178,1,15,manhattan
13.3115263951735,0,15,manhattan
13.3154492566257,1,7,manhattan
13.3645823181344,1,13,euclidean
13.3645823181344,1,13,minkowski
13.3846591251885,2,15,euclidean
13.3846591251885,2,15,minkowski
13.3928403948992,2,11,euclidean
13.3928403948992,2,11,minkowski
13.4146405228758,2,9,euclidean
13.4146405228758,2,9,minkowski
13.4189185520362,2,5,manhattan
13.4263755656109,1,15,euclidean
13.4263755656109,1,15,minkowski
13.4402359405301,0,7,manhattan
13.4440086384204,1,11,euclidean
13.4440086384204,1,11,minkowski
13.4603028193526,0,13,euclidean
13.4603028193526,0,13,minkowski
13.4733785822021,0,15,euclidean
13.4733785822021,0,15,minkowski
13.4737375565611,1,5,manhattan
13.4899526943645,0,11,euclidean
13.4899526943645,0,11,minkowski
13.5239909502262,0,5,manhattan
13.524067370538,1,9,euclidean
13.524067370538,1,9,minkowski
13.5252941176471,1,7,euclidean
13.5252941176471,1,7,minkowski
13.5424208144796,0,9,euclidean
13.5424208144796,0,9,minkowski
13.5917808661926,2,7,euclidean
13.5917808661926,2,7,minkowski
13.6872042663219,0,7,euclidean
13.6872042663219,0,7,minkowski
13.7040744549568,0,11,chebyshev
13.760556561086,2,5,euclidean
13.760556561086,2,5,minkowski
13.761124260355,0,13,chebyshev
13.7944268476621,0,15,chebyshev
13.8169354175237,1,11,chebyshev
13.834221719457,1,5,euclidean
13.834221719457,1,5,minkowski
13.8365811965812,0,9,chebyshev
13.8454751131222,2,15,chebyshev
13.8471719457014,0,5,euclidean
13.8471719457014,0,5,minkowski
13.8589743589744,1,15,chebyshev
13.8605553270259,2,11,chebyshev
13.8711236802413,1,9,chebyshev
13.8793665158371,2,13,chebyshev
13.8987521754264,1,13,chebyshev
13.9176244343891,2,3,manhattan
13.9277752639517,2,9,chebyshev
13.980520361991,1,3,manhattan
13.9897963800905,0,3,manhattan
13.9929896574014,2,7,chebyshev
14.0026858435682,0,7,chebyshev
14.0053016591252,0,3,euclidean
14.0053016591252,0,3,minkowski
14.0613981900453,0,5,chebyshev
14.0746897220427,1,7,chebyshev
14.1124841628959,1,5,chebyshev
14.2116365007542,2,3,euclidean
14.2116365007542,2,3,minkowski
14.2339743589744,1,3,euclidean
14.2339743589744,1,3,minkowski
14.3752488687783,2,5,chebyshev
14.594419306184,2,3,chebyshev
14.6275942684766,1,3,chebyshev
14.8390950226244,0,3,chebyshev
16.0225113122172,0,1,manhattan
16.3074886877828,2,1,manhattan
16.4893665158371,1,1,manhattan
16.7599547511312,2,1,euclidean
16.7599547511312,2,1,minkowski
16.8002941176471,1,1,euclidean
16.8002941176471,1,1,minkowski
16.9238009049774,0,1,euclidean
16.9238009049774,0,1,minkowski
17.3717647058824,2,1,chebyshev
17.5975339366516,1,1,chebyshev
17.8962443438914,0,1,chebyshev
