ME,Iteration,Hidden Nodes,Learning Rate,Momentum,Regularization
9.85088301645554,0,128,0.1,0.8,0.0001
9.87370276270941,1,32,0.2,0.5,0.0005
9.87791445188127,1,128,0.1,0.5,0.0001
9.98242326704829,2,"(16, 32, 16)",0.1,0.8,0.0001
9.98767443842563,0,"(8, 16, 8)",0.1,0.3,0.0005
10.017717331474,1,32,0.2,0.8,0.001
10.0379797576923,0,"(32, 32)",0.2,0.8,0.0001
10.0634407342674,2,"(8, 8, 8)",0.1,0.8,0.0001
10.0640969648428,0,64,0.2,0.3,0.0005
10.0697191523535,0,"(8, 8)",0.1,0.8,0.001
10.0743542100435,2,32,0.1,0.3,0.001
10.0761035373365,0,128,0.1,0.5,0.0001
10.0802832684952,1,"(8, 16, 8)",0.1,0.5,0.001
10.0958113549275,1,"(8, 8, 8)",0.1,0.5,0.001
10.0966926291562,0,"(16, 32, 16)",0.1,0.8,0.0001
10.1071557301176,0,64,0.2,0.5,0.0005
10.1110776434948,2,"(8, 16, 8)",0.1,0.3,0.001
10.1228479325621,1,32,0.2,0.3,0.0001
10.1233556086371,1,32,0.2,0.8,0.0005
10.1350134597156,2,128,0.1,0.3,0.001
10.1444404890936,1,128,0.1,0.5,0.0005
10.1528999808919,2,"(32, 32)",0.1,0.5,0.001
10.1535111068526,1,"(8, 16, 8)",0.1,0.8,0.0005
10.1718840350652,2,"(32, 32)",0.1,0.3,0.0001
10.1793260130026,1,"(16, 32, 16)",0.1,0.5,0.001
10.1821905750119,1,64,0.2,0.8,0.0005
10.1825506620479,2,"(8, 8, 8)",0.1,0.3,0.0001
10.1832535195147,1,64,0.2,0.3,0.0001
10.1891289333215,2,"(16, 16)",0.1,0.5,0.001
10.1915860060713,2,"(8, 8, 8)",0.1,0.8,0.001
10.2110989969065,0,"(8, 8)",0.2,0.3,0.0001
10.2219236393526,1,"(8, 8)",0.2,0.3,0.0005
10.2226107697484,0,"(8, 16, 8)",0.1,0.8,0.0001
10.222630859776,0,"(32, 32)",0.1,0.5,0.0001
10.2299683517721,0,64,0.1,0.8,0.001
10.2308548564025,2,32,0.1,0.5,0.0005
10.2326501665717,0,32,0.2,0.5,0.0001
10.2358300828761,2,64,0.1,0.5,0.0001
10.2363919955758,2,32,0.2,0.5,0.001
10.2383140244801,0,"(8, 8, 8)",0.1,0.8,0.0001
10.2403230803673,0,128,0.1,0.8,0.0005
10.2468184475465,2,"(8, 8, 8)",0.1,0.8,0.0005
10.2498816323431,1,"(32, 32)",0.1,0.3,0.001
10.2515084046239,1,64,0.1,0.8,0.001
10.2529520816447,1,"(32, 32)",0.1,0.5,0.0005
10.2534372090556,0,64,0.1,0.3,0.0001
10.2548319008829,2,"(16, 16)",0.1,0.8,0.001
