ME,Iteration,Hidden Nodes,Learning Rate,Momentum,Regularization
10.327689691535776,0,32,0.1,0.3,0.0001
10.038231759311149,0,32,0.1,0.3,0.0005
10.570799242014036,0,32,0.1,0.3,0.001
10.710974490507542,0,32,0.1,0.5,0.0001
10.000205971331184,0,32,0.1,0.5,0.0005
10.835307406955318,0,32,0.1,0.5,0.001
10.750297430182155,0,32,0.1,0.8,0.0001
9.948082610072388,0,32,0.1,0.8,0.0005
10.4234922668402,0,32,0.1,0.8,0.001
10.445852098469299,0,32,0.2,0.3,0.0001
11.209097211304034,0,32,0.2,0.3,0.0005
10.225976806504498,0,32,0.2,0.3,0.001
10.914304617379942,0,32,0.2,0.5,0.0001
10.364374206247232,0,32,0.2,0.5,0.0005
10.656836170348743,0,32,0.2,0.5,0.001
10.542620030479965,0,32,0.2,0.8,0.0001
10.591757254235823,0,32,0.2,0.8,0.0005
11.499354390135691,0,32,0.2,0.8,0.001
10.615292538973833,0,64,0.1,0.3,0.0001
10.447430353442389,0,64,0.1,0.3,0.0005
10.59427197940059,0,64,0.1,0.3,0.001
10.08128067321327,0,64,0.1,0.5,0.0001
10.78560587003916,0,64,0.1,0.5,0.0005
10.628906762958485,0,64,0.1,0.5,0.001
10.51368947774571,0,64,0.1,0.8,0.0001
10.391251828487842,0,64,0.1,0.8,0.0005
11.134099444867465,0,64,0.1,0.8,0.001
10.154792239022708,0,64,0.2,0.3,0.0001
10.88471789207013,0,64,0.2,0.3,0.0005
10.861562075899972,0,64,0.2,0.3,0.001
11.051000012916845,0,64,0.2,0.5,0.0001
10.73928471104661,0,64,0.2,0.5,0.0005
10.335822904671907,0,64,0.2,0.5,0.001
11.13108989065981,0,64,0.2,0.8,0.0001
10.2076893717575,0,64,0.2,0.8,0.0005
10.53348157804039,0,64,0.2,0.8,0.001
10.148188814437397,0,128,0.1,0.3,0.0001
10.628409276845904,0,128,0.1,0.3,0.0005
10.80595027107311,0,128,0.1,0.3,0.001
10.742390827540344,0,128,0.1,0.5,0.0001
10.508460965653292,0,128,0.1,0.5,0.0005
10.481663104855334,0,128,0.1,0.5,0.001
10.678376670605932,0,128,0.1,0.8,0.0001
10.877019683608655,0,128,0.1,0.8,0.0005
10.29253402979758,0,128,0.1,0.8,0.001
10.935588331958026,0,128,0.2,0.3,0.0001
10.378632880225211,0,128,0.2,0.3,0.0005
10.240065904289875,0,128,0.2,0.3,0.001
10.92966448736048,0,128,0.2,0.5,0.0001
10.500487751942552,0,128,0.2,0.5,0.0005
10.410503871972907,0,128,0.2,0.5,0.001
10.3216449177273,0,128,0.2,0.8,0.0001
10.390308574150312,0,128,0.2,0.8,0.0005
11.414641584454186,0,128,0.2,0.8,0.001
10.615693956631405,0,"(8, 8)",0.1,0.3,0.0001
10.239008822109344,0,"(8, 8)",0.1,0.3,0.0005
10.453487449009803,0,"(8, 8)",0.1,0.3,0.001
10.774780894249185,0,"(8, 8)",0.1,0.5,0.0001
10.328755045706142,0,"(8, 8)",0.1,0.5,0.0005
10.576042388618585,0,"(8, 8)",0.1,0.5,0.001
10.363225829405451,0,"(8, 8)",0.1,0.8,0.0001
10.773647866673079,0,"(8, 8)",0.1,0.8,0.0005
10.65199362780719,0,"(8, 8)",0.1,0.8,0.001
10.40226706196076,0,"(8, 8)",0.2,0.3,0.0001
10.73541976514911,0,"(8, 8)",0.2,0.3,0.0005
10.824188854740184,0,"(8, 8)",0.2,0.3,0.001
10.940526209408024,0,"(8, 8)",0.2,0.5,0.0001
10.282664160615305,0,"(8, 8)",0.2,0.5,0.0005
10.898437509872185,0,"(8, 8)",0.2,0.5,0.001
11.234775347804376,0,"(8, 8)",0.2,0.8,0.0001
10.45742308405546,0,"(8, 8)",0.2,0.8,0.0005
10.752512544359023,0,"(8, 8)",0.2,0.8,0.001
10.810717263425959,0,"(16, 16)",0.1,0.3,0.0001
10.626450137615176,0,"(16, 16)",0.1,0.3,0.0005
10.325955584780159,0,"(16, 16)",0.1,0.3,0.001
10.54536060865806,0,"(16, 16)",0.1,0.5,0.0001
10.35149405558924,0,"(16, 16)",0.1,0.5,0.0005
10.993688677484725,0,"(16, 16)",0.1,0.5,0.001
10.34063077720632,0,"(16, 16)",0.1,0.8,0.0001
10.895754435257528,0,"(16, 16)",0.1,0.8,0.0005
10.93569666497903,0,"(16, 16)",0.1,0.8,0.001
11.443960083515677,0,"(16, 16)",0.2,0.3,0.0001
11.036765519358218,0,"(16, 16)",0.2,0.3,0.0005
9.917727524604937,0,"(16, 16)",0.2,0.3,0.001
10.964539042883773,0,"(16, 16)",0.2,0.5,0.0001
10.973495482939835,0,"(16, 16)",0.2,0.5,0.0005
12.093127675967999,0,"(16, 16)",0.2,0.5,0.001
10.52273783033573,0,"(16, 16)",0.2,0.8,0.0001
10.339833276043214,0,"(16, 16)",0.2,0.8,0.0005
10.36870995414603,0,"(16, 16)",0.2,0.8,0.001
10.654374131641902,0,"(32, 32)",0.1,0.3,0.0001
10.351370231085639,0,"(32, 32)",0.1,0.3,0.0005
10.853966886386818,0,"(32, 32)",0.1,0.3,0.001
10.076263661021464,0,"(32, 32)",0.1,0.5,0.0001
10.497951873838216,0,"(32, 32)",0.1,0.5,0.0005
10.502621379336329,0,"(32, 32)",0.1,0.5,0.001
9.930025846509361,0,"(32, 32)",0.1,0.8,0.0001
10.470343526635492,0,"(32, 32)",0.1,0.8,0.0005
10.309414063429562,0,"(32, 32)",0.1,0.8,0.001
10.392353690888113,0,"(32, 32)",0.2,0.3,0.0001
11.859928348633487,0,"(32, 32)",0.2,0.3,0.0005
12.282965339810847,0,"(32, 32)",0.2,0.3,0.001
11.043799008646273,0,"(32, 32)",0.2,0.5,0.0001
11.636521416013073,0,"(32, 32)",0.2,0.5,0.0005
12.179130122309274,0,"(32, 32)",0.2,0.5,0.001
10.365994597145377,0,"(32, 32)",0.2,0.8,0.0001
13.839993961317315,0,"(32, 32)",0.2,0.8,0.0005
11.310537424708485,0,"(32, 32)",0.2,0.8,0.001
10.496918599932988,0,"(8, 16, 8)",0.1,0.3,0.0001
10.361964438587423,0,"(8, 16, 8)",0.1,0.3,0.0005
11.06491870676948,0,"(8, 16, 8)",0.1,0.3,0.001
11.274591401474208,0,"(8, 16, 8)",0.1,0.5,0.0001
10.301472352981836,0,"(8, 16, 8)",0.1,0.5,0.0005
10.428160078211695,0,"(8, 16, 8)",0.1,0.5,0.001
10.0462368114558,0,"(8, 16, 8)",0.1,0.8,0.0001
10.727884559426098,0,"(8, 16, 8)",0.1,0.8,0.0005
10.767837283930973,0,"(8, 16, 8)",0.1,0.8,0.001
10.931339993073832,0,"(8, 16, 8)",0.2,0.3,0.0001
12.34018886416776,0,"(8, 16, 8)",0.2,0.3,0.0005
10.572359238340784,0,"(8, 16, 8)",0.2,0.3,0.001
11.896668331562129,0,"(8, 16, 8)",0.2,0.5,0.0001
10.956442521720433,0,"(8, 16, 8)",0.2,0.5,0.0005
11.621512822837357,0,"(8, 16, 8)",0.2,0.5,0.001
12.399414644511136,0,"(8, 16, 8)",0.2,0.8,0.0001
11.091309516340543,0,"(8, 16, 8)",0.2,0.8,0.0005
11.832902635667688,0,"(8, 16, 8)",0.2,0.8,0.001
9.992869448456002,0,"(16, 32, 16)",0.1,0.3,0.0001
10.556866905887338,0,"(16, 32, 16)",0.1,0.3,0.0005
10.780051537860075,0,"(16, 32, 16)",0.1,0.3,0.001
10.097333762428766,0,"(16, 32, 16)",0.1,0.5,0.0001
10.356549075198261,0,"(16, 32, 16)",0.1,0.5,0.0005
10.434541267573167,0,"(16, 32, 16)",0.1,0.5,0.001
10.476226438613173,0,"(16, 32, 16)",0.1,0.8,0.0001
10.089531573219567,0,"(16, 32, 16)",0.1,0.8,0.0005
11.160335141866577,0,"(16, 32, 16)",0.1,0.8,0.001
11.940719842916621,0,"(16, 32, 16)",0.2,0.3,0.0001
11.76836528773202,0,"(16, 32, 16)",0.2,0.3,0.0005
13.82129926601913,0,"(16, 32, 16)",0.2,0.3,0.001
11.647802818385818,0,"(16, 32, 16)",0.2,0.5,0.0001
12.516340794470878,0,"(16, 32, 16)",0.2,0.5,0.0005
11.737257277272972,0,"(16, 32, 16)",0.2,0.5,0.001
11.704277242999634,0,"(16, 32, 16)",0.2,0.8,0.0001
12.906726766829644,0,"(16, 32, 16)",0.2,0.8,0.0005
13.19700904386923,0,"(16, 32, 16)",0.2,0.8,0.001
10.69667020464145,0,"(8, 8, 8)",0.1,0.3,0.0001
11.345610988606175,0,"(8, 8, 8)",0.1,0.3,0.0005
11.016589294027497,0,"(8, 8, 8)",0.1,0.3,0.001
10.66445586736057,0,"(8, 8, 8)",0.1,0.5,0.0001
10.478793517905368,0,"(8, 8, 8)",0.1,0.5,0.0005
11.213820053094466,0,"(8, 8, 8)",0.1,0.5,0.001
11.138661646380054,0,"(8, 8, 8)",0.1,0.8,0.0001
9.969909828982768,0,"(8, 8, 8)",0.1,0.8,0.0005
10.31679062517551,0,"(8, 8, 8)",0.1,0.8,0.001
11.159556572780584,0,"(8, 8, 8)",0.2,0.3,0.0001
11.663232167507868,0,"(8, 8, 8)",0.2,0.3,0.0005
11.198249688488344,0,"(8, 8, 8)",0.2,0.3,0.001
11.412251512497622,0,"(8, 8, 8)",0.2,0.5,0.0001
11.015373036224315,0,"(8, 8, 8)",0.2,0.5,0.0005
9.995000532134943,0,"(8, 8, 8)",0.2,0.5,0.001
11.128194245278763,0,"(8, 8, 8)",0.2,0.8,0.0001
11.092011491813903,0,"(8, 8, 8)",0.2,0.8,0.0005
10.890685800847267,0,"(8, 8, 8)",0.2,0.8,0.001
10.207669142168012,1,32,0.1,0.3,0.0001
9.98951252696077,1,32,0.1,0.3,0.0005
9.929399406136977,1,32,0.1,0.3,0.001
10.262059009803526,1,32,0.1,0.5,0.0001
10.649129926463726,1,32,0.1,0.5,0.0005
10.545898197975337,1,32,0.1,0.5,0.001
10.55948311491159,1,32,0.1,0.8,0.0001
10.278865780561055,1,32,0.1,0.8,0.0005
10.602668580390304,1,32,0.1,0.8,0.001
10.877151885314925,1,32,0.2,0.3,0.0001
10.837585596558817,1,32,0.2,0.3,0.0005
10.778368023469543,1,32,0.2,0.3,0.001
10.171518388372386,1,32,0.2,0.5,0.0001
10.550394680846749,1,32,0.2,0.5,0.0005
10.736997767416959,1,32,0.2,0.5,0.001
10.590278127886489,1,32,0.2,0.8,0.0001
10.250852557161235,1,32,0.2,0.8,0.0005
10.180770551770022,1,32,0.2,0.8,0.001
10.247585384315602,1,64,0.1,0.3,0.0001
10.609875147314792,1,64,0.1,0.3,0.0005
10.462956691804534,1,64,0.1,0.3,0.001
10.517154682575171,1,64,0.1,0.5,0.0001
10.285179757855898,1,64,0.1,0.5,0.0005
10.367253917483662,1,64,0.1,0.5,0.001
10.310627216022365,1,64,0.1,0.8,0.0001
10.556578971378954,1,64,0.1,0.8,0.0005
10.107455347949186,1,64,0.1,0.8,0.001
10.325853074733216,1,64,0.2,0.3,0.0001
10.905253145063881,1,64,0.2,0.3,0.0005
10.650543943102372,1,64,0.2,0.3,0.001
10.527025249273265,1,64,0.2,0.5,0.0001
10.789863457432318,1,64,0.2,0.5,0.0005
11.102968057000329,1,64,0.2,0.5,0.001
10.311114766183664,1,64,0.2,0.8,0.0001
10.289928743013615,1,64,0.2,0.8,0.0005
10.699265722240996,1,64,0.2,0.8,0.001
10.07404713840481,1,128,0.1,0.3,0.0001
10.647189869705874,1,128,0.1,0.3,0.0005
10.004864387373434,1,128,0.1,0.3,0.001
10.650313619878714,1,128,0.1,0.5,0.0001
10.496710812496294,1,128,0.1,0.5,0.0005
10.99905364996256,1,128,0.1,0.5,0.001
10.468435417469333,1,128,0.1,0.8,0.0001
10.780082384885645,1,128,0.1,0.8,0.0005
10.67903022862572,1,128,0.1,0.8,0.001
10.872009276803329,1,128,0.2,0.3,0.0001
10.772636389389785,1,128,0.2,0.3,0.0005
10.780659204854175,1,128,0.2,0.3,0.001
10.373023401044604,1,128,0.2,0.5,0.0001
10.129336183833793,1,128,0.2,0.5,0.0005
10.925135478529596,1,128,0.2,0.5,0.001
10.5563354715741,1,128,0.2,0.8,0.0001
10.248994029474634,1,128,0.2,0.8,0.0005
10.57496650120837,1,128,0.2,0.8,0.001
10.286264083166577,1,"(8, 8)",0.1,0.3,0.0001
10.258288390372787,1,"(8, 8)",0.1,0.3,0.0005
10.382723099362451,1,"(8, 8)",0.1,0.3,0.001
10.826880366035235,1,"(8, 8)",0.1,0.5,0.0001
10.577628525221993,1,"(8, 8)",0.1,0.5,0.0005
10.591765880688602,1,"(8, 8)",0.1,0.5,0.001
10.728760325431903,1,"(8, 8)",0.1,0.8,0.0001
10.639537863974812,1,"(8, 8)",0.1,0.8,0.0005
10.211239668720003,1,"(8, 8)",0.1,0.8,0.001
10.646882598864845,1,"(8, 8)",0.2,0.3,0.0001
