ME,Iteration,Hidden Nodes,Learning Rate,Momentum,Regularization
11.4896954898883,1,"(64, 64)",0.2,0.5,0.0001
11.5453160998296,1,128,0.1,0.8,0.0005
11.5510393305325,0,64,0.2,0.5,0.0001
11.5541428794019,1,128,0.1,0.3,0.0001
11.5731757187267,2,64,0.1,0.5,0.0001
11.6125058069266,1,64,0.1,0.8,0.0005
11.6234449448205,1,64,0.1,0.5,0.0001
11.627141164881,1,"(64, 64)",0.1,0.8,0.0001
11.6272696586179,1,64,0.1,0.5,0.001
11.6332299969109,1,128,0.2,0.8,0.001
11.6454613008177,1,"(64, 64)",0.2,0.8,0.0001
11.6477926031351,1,128,0.1,0.5,0.0005
11.6487160228275,1,"(128, 128)",0.1,0.5,0.001
11.6536501946321,2,64,0.2,0.3,0.0001
11.6581261544486,1,"(64, 32, 64)",0.1,0.3,0.0005
11.6678659438475,1,"(64, 64)",0.1,0.5,0.0005
11.677929748904,1,"(128, 128)",0.1,0.8,0.0001
11.684142837106,0,"(64, 64)",0.1,0.3,0.001
11.6843857659219,1,128,0.2,0.3,0.001
11.6848309138191,0,"(128, 128)",0.1,0.8,0.0001
11.6910962657572,1,"(64, 32, 64)",0.1,0.8,0.001
11.697362663908,0,128,0.2,0.3,0.0001
11.7073635468254,0,64,0.1,0.8,0.0001
11.7075841907394,1,128,0.2,0.5,0.0001
11.7088201706144,1,64,0.1,0.8,0.001
11.7134247184072,1,128,0.1,0.8,0.001
11.7138387042536,2,128,0.1,0.8,0.001
11.7205479063476,1,64,0.1,0.5,0.0005
11.720705303524,1,"(64, 64)",0.2,0.5,0.001
11.7215180041743,1,64,0.2,0.3,0.0001
11.7288620978916,1,"(128, 128)",0.1,0.8,0.0005
11.7291775539411,0,128,0.1,0.5,0.0005
11.7335406684661,1,128,0.1,0.3,0.0005
11.7391966730876,2,64,0.1,0.8,0.0005
11.7440845955615,0,128,0.2,0.5,0.0001
11.7538880414992,0,"(64, 32, 64)",0.1,0.3,0.001
11.7540014347885,0,128,0.1,0.3,0.0001
11.7566327935916,1,"(64, 32, 64)",0.1,0.5,0.0001
11.7576336017354,1,128,0.1,0.5,0.0001
11.7587089636801,2,128,0.2,0.3,0.0005
11.7619677310267,1,64,0.2,0.5,0.0005
11.7666319716535,1,64,0.2,0.3,0.0005
11.7681888589172,2,128,0.1,0.5,0.001
11.7714030428198,1,64,0.1,0.3,0.001
11.7727059451962,1,64,0.2,0.5,0.001
11.7739731501687,0,128,0.2,0.5,0.0005
11.7743909390599,2,"(64, 64)",0.1,0.3,0.001
11.7825489146311,2,"(128, 128)",0.1,0.3,0.0005
11.7828735814457,1,128,0.1,0.8,0.0001
11.7838105781762,1,"(128, 128)",0.2,0.5,0.001
11.788575340902,0,"(128, 128)",0.2,0.3,0.0001
11.7944039318127,0,"(64, 64)",0.2,0.5,0.0001
11.795489651533,2,"(64, 64)",0.2,0.5,0.0001
11.7974679334332,2,64,0.1,0.3,0.0005
11.798709080345,1,128,0.2,0.5,0.0005
11.8008487473063,2,"(64, 64)",0.2,0.8,0.0005
11.8051622578283,1,128,0.2,0.3,0.0001
11.805285908068,0,64,0.1,0.8,0.001
11.8109128001492,2,"(64, 64)",0.2,0.8,0.001
11.8113542057251,2,64,0.1,0.5,0.0005
11.813045880133,0,"(64, 64)",0.1,0.8,0.0001
11.8160192030205,2,128,0.2,0.3,0.001
11.8169069110448,1,64,0.2,0.8,0.0005
11.8171637556902,0,128,0.2,0.8,0.0005
11.8172906674525,0,64,0.2,0.8,0.0005
11.8186746232052,2,64,0.2,0.8,0.0001
11.8194131626361,0,"(128, 128)",0.1,0.8,0.001
11.8207003335551,1,64,0.2,0.8,0.001
11.8219935636818,0,"(64, 64)",0.1,0.8,0.001
11.8277762389483,0,"(128, 128)",0.1,0.5,0.0001
11.829700224308,2,"(64, 64)",0.1,0.8,0.0001
11.8348136712583,1,"(64, 64)",0.1,0.5,0.0001
11.8390096738725,2,128,0.1,0.3,0.0001
11.8449853063134,0,"(64, 64)",0.2,0.5,0.001
11.8481835403229,1,"(64, 64)",0.1,0.3,0.001
11.8501975729666,2,128,0.1,0.3,0.0005
11.8516188227183,2,64,0.1,0.5,0.001
11.8548428173747,2,64,0.2,0.3,0.001
11.8570768926851,1,64,0.2,0.3,0.001
11.8578443735861,1,"(64, 32, 64)",0.1,0.5,0.0005
11.863168810307,2,"(128, 128)",0.1,0.8,0.0001
11.8661384604196,2,"(128, 128)",0.1,0.8,0.001
11.8667845622097,2,"(128, 128)",0.1,0.5,0.0001
11.8692616674044,1,128,0.1,0.5,0.001
11.8723740702201,2,128,0.2,0.8,0.0005
11.8728897872362,0,"(128, 128)",0.1,0.5,0.001
11.8729285426879,2,"(128, 128)",0.2,0.3,0.001
11.873115568935,2,"(64, 64)",0.1,0.8,0.001
11.8743038932106,1,"(64, 32, 64)",0.1,0.3,0.001
11.874563381307,0,128,0.2,0.3,0.0005
11.8748457706234,0,"(128, 128)",0.2,0.3,0.001
11.8766387552301,0,"(64, 32, 64)",0.1,0.5,0.0001
11.8768267154297,0,64,0.2,0.8,0.001
11.8786029542252,1,128,0.2,0.5,0.001
11.8805940147059,2,"(128, 128)",0.1,0.5,0.0005
11.8848009027374,2,64,0.1,0.3,0.0001
11.8857905972317,0,64,0.2,0.3,0.0001
11.8900189796071,2,128,0.2,0.8,0.001
11.8926958884426,2,"(64, 64)",0.1,0.5,0.001
11.8929606584743,2,"(64, 32, 64)",0.1,0.5,0.0005
11.8973866294909,0,"(64, 32, 64)",0.1,0.8,0.0005
11.9042823572984,0,"(128, 128)",0.1,0.3,0.0001
11.9063669253286,1,"(128, 128)",0.2,0.8,0.001
11.9091826377303,2,"(64, 32, 64)",0.1,0.8,0.0001
11.9116228718661,1,128,0.2,0.8,0.0005
11.916362978724,0,"(64, 32, 64)",0.1,0.5,0.0005
11.9166303773106,0,64,0.2,0.3,0.0005
11.9218937716812,1,"(128, 128)",0.1,0.5,0.0005
11.922992140461,0,128,0.2,0.5,0.001
11.9339648682777,0,"(64, 64)",0.1,0.5,0.0005
11.9384578088688,2,"(64, 32, 64)",0.1,0.3,0.001
