ME,Iteration,Hidden Nodes,Learning Rate,Momentum,Regularization
10.371181940794264,0,64,0.1,0.3,0.0001
10.42786217880764,0,64,0.1,0.3,0.0005
10.4090549531867,0,64,0.1,0.3,0.001
10.634785520001753,0,64,0.1,0.5,0.0001
10.499561825010787,0,64,0.1,0.5,0.0005
10.501850052224686,0,64,0.1,0.5,0.001
10.607644445761975,0,64,0.1,0.8,0.0001
10.636000690259795,0,64,0.1,0.8,0.0005
10.513855333275707,0,64,0.1,0.8,0.001
10.59485047485203,0,64,0.2,0.3,0.0001
10.54439676936418,0,64,0.2,0.3,0.0005
10.293489734323842,0,64,0.2,0.3,0.001
10.584827519968524,0,64,0.2,0.5,0.0001
10.492898362538934,0,64,0.2,0.5,0.0005
10.287690868997121,0,64,0.2,0.5,0.001
10.69191397495124,0,64,0.2,0.8,0.0001
10.49110030951386,0,64,0.2,0.8,0.0005
10.152414098561371,0,64,0.2,0.8,0.001
10.290542475302265,0,128,0.1,0.3,0.0001
10.403054497653352,0,128,0.1,0.3,0.0005
10.33020636691948,0,128,0.1,0.3,0.001
10.393673320411658,0,128,0.1,0.5,0.0001
10.338697262864482,0,128,0.1,0.5,0.0005
10.411576453907927,0,128,0.1,0.5,0.001
10.276492826639489,0,128,0.1,0.8,0.0001
10.085329682976187,0,128,0.1,0.8,0.0005
10.505868688755806,0,128,0.1,0.8,0.001
10.454219903596313,0,128,0.2,0.3,0.0001
10.492223611268777,0,128,0.2,0.3,0.0005
10.488417412603486,0,128,0.2,0.3,0.001
10.493125151880403,0,128,0.2,0.5,0.0001
10.540475714167473,0,128,0.2,0.5,0.0005
10.598211101013543,0,128,0.2,0.5,0.001
10.324766260109616,0,128,0.2,0.8,0.0001
10.604592264283424,0,128,0.2,0.8,0.0005
10.644553778218894,0,128,0.2,0.8,0.001
10.369506696593255,0,"(64, 64)",0.1,0.3,0.0001
11.841362678945755,0,"(64, 64)",0.1,0.3,0.0005
11.48299881056766,0,"(64, 64)",0.1,0.3,0.001
10.271007189254442,0,"(64, 64)",0.1,0.5,0.0001
10.553846498661649,0,"(64, 64)",0.1,0.5,0.0005
11.708222526546844,0,"(64, 64)",0.1,0.5,0.001
10.534984132191667,0,"(64, 64)",0.1,0.8,0.0001
10.288032698301244,0,"(64, 64)",0.1,0.8,0.0005
11.75425837989607,0,"(64, 64)",0.1,0.8,0.001
11.028883234651927,0,"(64, 64)",0.2,0.3,0.0001
10.896095257603594,0,"(64, 64)",0.2,0.3,0.0005
11.036102533682685,0,"(64, 64)",0.2,0.3,0.001
10.319365131440433,0,"(64, 64)",0.2,0.5,0.0001
10.226280979267838,0,"(64, 64)",0.2,0.5,0.0005
10.16408122979396,0,"(64, 64)",0.2,0.5,0.001
10.95167207314597,0,"(64, 64)",0.2,0.8,0.0001
10.15826276674711,0,"(64, 64)",0.2,0.8,0.0005
10.31367965576052,0,"(64, 64)",0.2,0.8,0.001
10.4036174257457,0,"(64, 32, 64)",0.1,0.3,0.0001
10.521737490376335,0,"(64, 32, 64)",0.1,0.3,0.0005
10.49893866374228,0,"(64, 32, 64)",0.1,0.3,0.001
10.459848611396575,0,"(64, 32, 64)",0.1,0.5,0.0001
11.031422245637566,0,"(64, 32, 64)",0.1,0.5,0.0005
11.160838255938085,0,"(64, 32, 64)",0.1,0.5,0.001
10.244020521273361,0,"(64, 32, 64)",0.1,0.8,0.0001
10.260753057146216,0,"(64, 32, 64)",0.1,0.8,0.0005
10.766991647800513,0,"(64, 32, 64)",0.1,0.8,0.001
12.227991392029454,0,"(64, 32, 64)",0.2,0.3,0.0001
13.59252791413434,0,"(64, 32, 64)",0.2,0.3,0.0005
13.07179746821166,0,"(64, 32, 64)",0.2,0.3,0.001
11.644927368043414,0,"(64, 32, 64)",0.2,0.5,0.0001
12.531267695209097,0,"(64, 32, 64)",0.2,0.5,0.0005
12.347026386127647,0,"(64, 32, 64)",0.2,0.5,0.001
12.426137840243019,0,"(64, 32, 64)",0.2,0.8,0.0001
11.736402290020077,0,"(64, 32, 64)",0.2,0.8,0.0005
11.477202055486853,0,"(64, 32, 64)",0.2,0.8,0.001
10.349498460698696,0,"(128, 128)",0.1,0.3,0.0001
10.339245622220476,0,"(128, 128)",0.1,0.3,0.0005
10.587649907580403,0,"(128, 128)",0.1,0.3,0.001
10.31790221995266,0,"(128, 128)",0.1,0.5,0.0001
10.656133815369957,0,"(128, 128)",0.1,0.5,0.0005
10.284272776671665,0,"(128, 128)",0.1,0.5,0.001
10.547045406717071,0,"(128, 128)",0.1,0.8,0.0001
10.521588964465964,0,"(128, 128)",0.1,0.8,0.0005
10.328677651398632,0,"(128, 128)",0.1,0.8,0.001
10.49032036301979,0,"(128, 128)",0.2,0.3,0.0001
10.961756802908042,0,"(128, 128)",0.2,0.3,0.0005
11.128650125055348,0,"(128, 128)",0.2,0.3,0.001
10.484209729088573,0,"(128, 128)",0.2,0.5,0.0001
13.523928009484724,0,"(128, 128)",0.2,0.5,0.0005
11.118689013978122,0,"(128, 128)",0.2,0.5,0.001
11.129801995335622,0,"(128, 128)",0.2,0.8,0.0001
13.155226862648272,0,"(128, 128)",0.2,0.8,0.0005
10.14676023361721,0,"(128, 128)",0.2,0.8,0.001
10.575696322292568,1,64,0.1,0.3,0.0001
10.42683695065835,1,64,0.1,0.3,0.0005
10.57611883606591,1,64,0.1,0.3,0.001
10.287026868484343,1,64,0.1,0.5,0.0001
10.742493490108531,1,64,0.1,0.5,0.0005
10.259239582953693,1,64,0.1,0.5,0.001
10.206822109454713,1,64,0.1,0.8,0.0001
10.41570630040037,1,64,0.1,0.8,0.0005
10.35171593068598,1,64,0.1,0.8,0.001
10.491622681825955,1,64,0.2,0.3,0.0001
10.403947077570281,1,64,0.2,0.3,0.0005
10.700924864945657,1,64,0.2,0.3,0.001
10.673402002264222,1,64,0.2,0.5,0.0001
10.37788796968579,1,64,0.2,0.5,0.0005
10.427640692501683,1,64,0.2,0.5,0.001
10.552831694477486,1,64,0.2,0.8,0.0001
10.50295600180379,1,64,0.2,0.8,0.0005
10.398473586868215,1,64,0.2,0.8,0.001
10.354273657719272,1,128,0.1,0.3,0.0001
10.692671804903453,1,128,0.1,0.3,0.0005
10.452100655294432,1,128,0.1,0.3,0.001
10.432713868319105,1,128,0.1,0.5,0.0001
10.273151922635561,1,128,0.1,0.5,0.0005
10.446138906157259,1,128,0.1,0.5,0.001
10.362124323275024,1,128,0.1,0.8,0.0001
10.478268857115426,1,128,0.1,0.8,0.0005
10.713315834358173,1,128,0.1,0.8,0.001
10.440896570783206,1,128,0.2,0.3,0.0001
10.355152748336554,1,128,0.2,0.3,0.0005
10.612912953653382,1,128,0.2,0.3,0.001
10.342360807961729,1,128,0.2,0.5,0.0001
10.611053185843444,1,128,0.2,0.5,0.0005
10.4983119750278,1,128,0.2,0.5,0.001
10.478562606184635,1,128,0.2,0.8,0.0001
10.75850162977249,1,128,0.2,0.8,0.0005
10.345033147199091,1,128,0.2,0.8,0.001
10.968532038200536,1,"(64, 64)",0.1,0.3,0.0001
10.513404501696026,1,"(64, 64)",0.1,0.3,0.0005
11.678009101457196,1,"(64, 64)",0.1,0.3,0.001
10.405684890632752,1,"(64, 64)",0.1,0.5,0.0001
11.373640203153496,1,"(64, 64)",0.1,0.5,0.0005
10.439491306517395,1,"(64, 64)",0.1,0.5,0.001
10.415334241390578,1,"(64, 64)",0.1,0.8,0.0001
10.339215741948319,1,"(64, 64)",0.1,0.8,0.0005
11.125285384836122,1,"(64, 64)",0.1,0.8,0.001
10.662659636079562,1,"(64, 64)",0.2,0.3,0.0001
10.410447083909077,1,"(64, 64)",0.2,0.3,0.0005
11.030814442868529,1,"(64, 64)",0.2,0.3,0.001
12.22467576087055,1,"(64, 64)",0.2,0.5,0.0001
10.32158116111087,1,"(64, 64)",0.2,0.5,0.0005
10.819183405449357,1,"(64, 64)",0.2,0.5,0.001
10.342496374527327,1,"(64, 64)",0.2,0.8,0.0001
10.913841039953454,1,"(64, 64)",0.2,0.8,0.0005
10.37360040180816,1,"(64, 64)",0.2,0.8,0.001
10.522129946934735,1,"(64, 32, 64)",0.1,0.3,0.0001
10.783246354087257,1,"(64, 32, 64)",0.1,0.3,0.0005
11.103586469397772,1,"(64, 32, 64)",0.1,0.3,0.001
10.59362724386626,1,"(64, 32, 64)",0.1,0.5,0.0001
11.088119100231244,1,"(64, 32, 64)",0.1,0.5,0.0005
10.221701564200504,1,"(64, 32, 64)",0.1,0.5,0.001
10.338567798273145,1,"(64, 32, 64)",0.1,0.8,0.0001
10.440562071508609,1,"(64, 32, 64)",0.1,0.8,0.0005
11.14063571997665,1,"(64, 32, 64)",0.1,0.8,0.001
10.47308428341212,1,"(64, 32, 64)",0.2,0.3,0.0001
11.038453935109683,1,"(64, 32, 64)",0.2,0.3,0.0005
13.830368848489604,1,"(64, 32, 64)",0.2,0.3,0.001
14.139198046822628,1,"(64, 32, 64)",0.2,0.5,0.0001
14.171669169659761,1,"(64, 32, 64)",0.2,0.5,0.0005
11.778648598121954,1,"(64, 32, 64)",0.2,0.5,0.001
11.721479131844875,1,"(64, 32, 64)",0.2,0.8,0.0001
11.809389766246545,1,"(64, 32, 64)",0.2,0.8,0.0005
11.565394793209586,1,"(64, 32, 64)",0.2,0.8,0.001
10.529353933808592,1,"(128, 128)",0.1,0.3,0.0001
10.188495965228688,1,"(128, 128)",0.1,0.3,0.0005
10.17997698630602,1,"(128, 128)",0.1,0.3,0.001
10.21780803423368,1,"(128, 128)",0.1,0.5,0.0001
10.397781468125892,1,"(128, 128)",0.1,0.5,0.0005
10.263726416239502,1,"(128, 128)",0.1,0.5,0.001
10.362698735808845,1,"(128, 128)",0.1,0.8,0.0001
10.478119320289107,1,"(128, 128)",0.1,0.8,0.0005
10.57635340340309,1,"(128, 128)",0.1,0.8,0.001
10.550524584975028,1,"(128, 128)",0.2,0.3,0.0001
12.981004884113592,1,"(128, 128)",0.2,0.3,0.0005
10.539853800831066,1,"(128, 128)",0.2,0.3,0.001
10.605296474715308,1,"(128, 128)",0.2,0.5,0.0001
11.657699199203535,1,"(128, 128)",0.2,0.5,0.0005
11.276469492233124,1,"(128, 128)",0.2,0.5,0.001
11.151460101489736,1,"(128, 128)",0.2,0.8,0.0001
