ME,Iteration,Hidden Nodes,Learning Rate,Momentum,Regularization
11.4397355415902,0,"(8, 8)",0.1,0.5,0.0001
11.4932947555114,0,"(8, 8, 8)",0.1,0.8,0.0005
11.5010828581831,1,"(8, 8, 8)",0.1,0.3,0.0005
11.5064968871103,0,"(8, 8)",0.1,0.8,0.0001
11.508683556023,1,"(32, 32)",0.1,0.8,0.0001
11.516598855461,1,"(32, 32)",0.1,0.5,0.0005
11.5220880578539,2,"(8, 8, 8)",0.1,0.5,0.001
11.5327935554698,1,128,0.1,0.8,0.0001
11.5341998316078,1,"(8, 8)",0.1,0.5,0.0001
11.5347005502361,2,32,0.2,0.8,0.0001
11.5348711980068,1,32,0.2,0.3,0.0001
11.5349645839156,1,"(8, 8)",0.2,0.3,0.0001
11.5360695633405,2,128,0.2,0.5,0.001
11.5368942971548,0,32,0.1,0.8,0.0001
11.5384268647484,2,"(8, 8)",0.1,0.8,0.0001
11.5396322399924,1,32,0.1,0.5,0.0005
11.5416091197728,1,64,0.1,0.8,0.0001
11.545463931954,0,"(8, 8)",0.2,0.5,0.0001
11.5474070400725,1,32,0.1,0.5,0.0001
11.5605396495453,1,"(8, 8)",0.1,0.8,0.0001
11.5655508084557,1,32,0.2,0.8,0.001
11.566409272163,1,64,0.2,0.3,0.0001
11.5672931461861,1,128,0.1,0.8,0.001
11.5682622613831,0,"(8, 8, 8)",0.1,0.3,0.001
11.5714865068909,1,"(16, 32, 16)",0.1,0.5,0.0005
11.5741479547666,0,"(32, 32)",0.1,0.5,0.0005
11.5760470844448,0,128,0.1,0.5,0.001
11.5841640891658,1,32,0.1,0.5,0.001
11.584639590296,2,"(8, 8)",0.1,0.8,0.0005
11.5847738228817,2,"(8, 8)",0.1,0.8,0.001
11.5857518161494,2,64,0.1,0.5,0.0005
11.5881295874708,1,"(8, 8)",0.1,0.3,0.0005
11.5883645861727,2,"(16, 32, 16)",0.1,0.5,0.001
11.5906377786118,2,128,0.2,0.3,0.001
11.5911458857321,1,128,0.1,0.3,0.0005
11.592680122042,0,32,0.1,0.8,0.001
11.5936625167272,0,64,0.1,0.3,0.0005
11.5949739167552,2,"(8, 16, 8)",0.1,0.3,0.0001
